2012 US Presidential Election,Romney,Obama,Other,
Alameda,108182,469684,19027,
Alpine,236,389,29,
Amador,10281,6830,582,
Butte,44479,42669,3873,
Calaveras,12365,8670,827,
Colusa,3601,2314,130,
Contra Costa,136517,290824,11804,
Del Norte,4614,3791,365,
El Dorado,50973,35166,2635,
Fresno,124490,129129,6078,
Glenn,5632,3301,305,
Humboldt,18825,34457,4404,
Imperial,12777,25136,652,
Inyo,4340,3422,274,
Kern,126618,89495,6076,
Kings,17671,12979,768,
Lake,9200,13163,1028,
Lassen,7296,3053,376,
Los Angeles,885333,2216903,78831,
Madera,22852,16018,1063,
Marin,30880,99896,3955,
Mariposa,5140,3498,362,
Mendocino,9658,23193,2286,
Merced,27581,33005,1636,
Modoc,2777,1111,131,
Mono,2285,2733,163,
Monterey,37390,82920,3208,
Napa,19526,35870,1572,
Nevada,24986,24663,2027,
Orange,582332,512440,27892,
Placer,99921,66818,4972,
Plumas,5721,4026,333,
Riverside,318127,329063,15926,
Sacramento,202514,300503,14565,
San Benito,7343,11276,462,
San Bernardino,262358,305109,15463,
San Diego,536726,626957,30266,
San Francisco,47076,301723,12996,
San Joaquin,86071,114121,5172,
San Luis Obispo,59967,61258,4741,
San Mateo,72756,206085,6879,
Santa Barbara,64606,94129,4585,
Santa Clara,174843,450818,18616,
Santa Cruz,24047,90805,5533,
Shasta,48067,25819,2615,
Sierra,1056,653,90,
Siskiyou,11077,8046,870,
Solano,52092,96783,3965,
Sonoma,54784,153942,8139,
Stanislaus,73459,77724,4633,
Sutter,18122,12192,769,
Tehama,14235,7934,808,
Trinity,2716,2674,349,
Tulare,56956,41752,2571,
Tuolumne,13880,9998,880,
Ventura,147958,170929,8825,
Yolo,23368,48715,2588,
Yuba,11275,7711,775,
