2012 US Presidential Election,Romney,Obama,Other,
Appling,5233,1758,102,
Atkinson,1938,930,39,
Bacon,3093,791,52,
Baker,785,794,12,
Baldwin,7589,8483,198,
Banks,5354,780,70,
Barrow,18725,6028,517,
Bartow,26876,8396,625,
Ben Hill,3396,2512,62,
Berrien,4843,1273,108,
Bibb,25623,38585,595,
Bleckley,3587,1269,64,
Brantley,4964,939,117,
Brooks,3554,3138,62,
Bryan,9560,3707,209,
Bulloch,14174,9593,366,
Burke,4301,5405,87,
Butts,6306,2968,126,
Calhoun,883,1298,8,
Camden,11343,6377,330,
Candler,2344,1157,30,
Carroll,28280,12688,704,
Catoosa,17858,5365,568,
Charlton,2527,1197,41,
Chatham,47204,60246,1371,
Chattahoochee,735,729,29,
Chattooga,5452,2232,185,
Cherokee,76514,19841,2084,
Clarke,13815,25431,1269,
Clay,537,862,4,
Clayton,14164,81479,587,
Clinch,1598,852,25,
Cobb,171722,133124,5989,
Coffee,9248,5057,169,
Colquitt,9243,3973,131,
Columbia,41765,16451,855,
Cook,3935,2042,64,
Coweta,39653,15168,897,
Crawford,3368,1706,70,
Crisp,4182,3167,51,
Dade,4471,1411,165,
Dawson,8847,1241,176,
Decatur,5824,4591,85,
DeKalb,64392,238224,4242,
Dodge,5214,2442,98,
Dooly,1985,2285,32,
Dougherty,11449,26295,231,
Douglas,26241,28441,697,
Early,2557,2765,37,
Echols,917,173,15,
Effingham,15596,4947,311,
Elbert,4859,3181,116,
Emanuel,5100,2927,62,
Evans,2268,1268,29,
Fannin,7857,2028,175,
Fayette,38075,19736,917,
Floyd,22733,9640,554,
Forsyth,65908,14571,1421,
Franklin,6114,1499,164,
Fulton,137124,255470,5752,
Gilmer,8926,1958,169,
Glascock,1135,176,25,
Glynn,20893,11950,348,
Gordon,13197,3440,302,
Grady,5924,3419,70,
Greene,5071,3201,55,
Gwinnett,159855,132509,4992,
Habersham,12166,2301,209,
Hall,47481,12999,1032,
Hancock,769,3308,13,
Haralson,8446,1789,172,
Harris,11197,4145,179,
Hart,6517,2870,142,
Heard,3160,948,70,
Henry,46774,43761,996,
Houston,34662,22702,811,
Irwin,2538,1141,35,
Jackson,19135,4238,372,
Jasper,4136,1845,61,
Jeff Davis,3996,1275,68,
Jefferson,2999,4261,41,
Jenkins,1887,1488,19,
Johnson,2440,1305,31,
Jones,7744,4274,101,
Lamar,4899,2602,111,
Lanier,1820,1114,44,
Laurens,11950,7513,176,
Lee,10314,3196,136,
Liberty,5565,10457,173,
Lincoln,2807,1586,37,
Long,2306,1442,67,
Lowndes,21327,17470,424,
Lumpkin,8647,2055,246,
McDuffie,5475,4044,86,
McIntosh,3409,2864,81,
Macon,1545,3211,30,
Madison,8443,2494,196,
Marion,1733,1412,34,
Meriwether,4856,4331,87,
Miller,1905,852,23,
Mitchell,4155,4081,45,
Monroe,8361,3785,149,
Montgomery,2662,1135,38,
Morgan,6186,2753,102,
Murray,8443,2542,270,
Muscogee,27510,42573,632,
Newton,20982,21851,476,
Oconee,13098,4421,340,
Oglethorpe,4251,1914,120,
Paulding,40846,15825,872,
Peach,5287,6148,102,
Pickens,10547,1975,180,
Pierce,5667,1124,64,
Pike,6668,1356,115,
Polk,9811,3615,222,
Pulaski,2444,1219,22,
Putnam,6215,2926,88,
Quitman,510,612,6,
Rabun,5754,1559,152,
Randolph,1271,1770,19,
Richmond,25845,52560,769,
Rockdale,15716,22023,417,
Schley,1286,448,18,
Screven,3287,2774,50,
Seminole,2245,1478,54,
Spalding,14911,9898,330,
Stephens,7221,2131,182,
Stewart,745,1323,8,
Sumter,5378,6375,103,
Talbot,1202,2265,26,
Taliaferro,323,636,4,
Tattnall,4706,1897,74,
Taylor,1948,1572,20,
Telfair,2480,1805,53,
Terrell,1834,2544,29,
Thomas,11156,7653,183,
Tift,9185,4660,97,
Toombs,6524,2746,87,
Towns,4876,1273,95,
Treutlen,1652,1074,25,
Troup,15179,10547,309,
Turner,2028,1510,29,
Twiggs,1907,2270,28,
Union,8773,2139,197,
Upson,7230,3959,90,
Walker,16247,5274,475,
Walton,29036,8148,493,
Ware,7941,3900,112,
Warren,990,1529,8,
Washington,4035,4714,68,
Wayne,7557,2596,135,
Webster,601,582,5,
Wheeler,1366,772,27,
White,8651,1671,201,
Whitfield,19305,7210,453,
Wilcox,2053,1060,19,
Wilkes,2635,2087,43,
Wilkinson,2246,2181,29,
Worth,5869,2487,80,
