2012 US Presidential Election,Romney,Obama,Other,
Adair,2114,1790,92,
Adams,1108,1028,49,
Allamakee,3264,3553,117,
Appanoose,3161,2951,133,
Audubon,1802,1611,44,
Benton,6940,6862,221,
Black Hawk,26235,39821,1085,
Boone,6556,7512,320,
Bremer,6405,6763,178,
Buchanan,4450,5911,174,
Buena Vista,4554,3700,129,
Butler,4106,3329,110,
Calhoun,2891,2238,101,
Carroll,5601,4947,126,
Cass,4217,2858,130,
Cedar,4529,4972,148,
Cerro Gordo,10128,13316,380,
Cherokee,3662,2634,119,
Chickasaw,2836,3554,94,
Clarke,2124,2189,117,
Clay,4951,3385,166,
Clayton,4164,4806,168,
Clinton,9432,15141,427,
Crawford,3595,3066,91,
Dallas,20988,16576,552,
Davis,2138,1520,115,
Decatur,1947,1791,95,
Delaware,4636,4616,126,
Des Moines,8136,11888,361,
Dickinson,5912,4095,152,
Dubuque,21280,28768,846,
Emmet,2507,2099,81,
Fayette,4492,5732,142,
Floyd,3472,4680,105,
Franklin,2823,2266,97,
Fremont,1972,1637,59,
Greene,2380,2375,91,
Grundy,4215,2635,112,
Guthrie,3171,2569,148,
Hamilton,3991,3782,154,
Hancock,3317,2521,87,
Hardin,4670,4075,153,
Harrison,4065,3136,121,
Henry,5035,4460,202,
Howard,1795,2768,82,
Humboldt,3099,1972,87,
Ida,2286,1321,56,
Iowa,4569,4144,153,
Jackson,4177,5907,158,
Jasper,8877,10257,381,
Jefferson,3436,4798,296,
Johnson,23698,50666,1613,
Jones,4721,5534,194,
Keokuk,2843,2303,120,
Kossuth,4937,3850,136,
Lee,7785,10714,412,
Linn,47622,68581,2250,
Louisa,2420,2452,96,
Lucas,2254,1987,82,
Lyon,4978,1423,108,
Madison,4638,3630,190,
Mahaska,6448,4213,222,
Marion,9828,7507,352,
Marshall,8472,10257,335,
Mills,4216,2848,148,
Mitchell,2643,2831,112,
Monona,2557,2101,84,
Monroe,2026,1731,73,
Montgomery,3001,1922,102,
Muscatine,8168,11323,374,
O'Brien,5266,1969,106,
Osceola,2230,912,52,
Page,4348,2613,118,
Palo Alto,2660,2139,88,
Plymouth,8597,4164,189,
Pocahontas,2396,1523,113,
Polk,96096,128465,4321,
Pottawattamie,21860,19644,797,
Poweshiek,4424,5357,194,
Ringgold,1368,1186,45,
Sac,3094,2122,75,
Scott,38251,50652,1360,
Shelby,3911,2469,103,
Sioux,14407,2700,201,
Story,19668,26192,1290,
Tama,4098,4768,151,
Taylor,1683,1262,50,
Union,2813,3043,101,
Van Buren,2064,1402,103,
Wapello,6789,8663,318,
Warren,13052,12551,469,
Washington,5562,5115,327,
Wayne,1583,1251,66,
Webster,8469,9537,286,
Winnebago,2906,2903,109,
Winneshiek,4622,6256,206,
Woodbury,21841,22302,876,
Worth,1744,2350,78,
Wright,3349,2836,93,
