2012 US Presidential Election,Romney,Obama,Other,
Adams,20416,9648,543,
Alexander,1487,1965,49,
Bond,4095,3020,260,
Boone,11096,9883,462,
Brown,1513,787,64,
Bureau,8164,8134,388,
Calhoun,1440,1080,56,
Carroll,3555,3665,186,
Cass,2707,2053,118,
Champaign,35312,40831,2466,
Christian,8885,5494,348,
Clark,5144,2591,151,
Clay,4190,1584,134,
Clinton,10524,5596,361,
Coles,11631,9262,544,
Cook,495542,1488537,27519,
Crawford,5585,2858,190,
Cumberland,3509,1641,145,
DeKalb,18934,21207,951,
De Witt,4579,2601,188,
Douglas,5334,2430,133,
DuPage,195046,199460,6575,
Edgar,5132,2565,138,
Edwards,2405,754,69,
Effingham,12501,3861,251,
Fayette,5951,2853,208,
Ford,4229,1656,139,
Franklin,10267,7254,393,
Fulton,6632,8328,451,
Gallatin,1492,1029,52,
Greene,3451,2023,163,
Grundy,11343,9451,519,
Hamilton,2566,1269,106,
Hancock,5271,3650,190,
Hardin,1535,742,53,
Henderson,1541,1978,49,
Henry,11583,12332,490,
Iroquois,9120,3413,251,
Jackson,9864,13319,921,
Jasper,3514,1436,93,
Jefferson,9811,6089,420,
Jersey,6039,3667,253,
Jo Daviess,5534,5667,228,
Johnson,3963,1572,137,
Kane,88335,90332,2981,
Kankakee,23136,21595,923,
Kendall,24047,22471,892,
Knox,9408,13451,497,
Lake,129764,153757,3972,
LaSalle,23256,23073,930,
Lawrence,3857,2011,121,
Lee,8059,6937,352,
Livingston,9753,5020,304,
Logan,7844,3978,231,
McDonough,6147,5967,340,
McHenry,71598,59797,2842,
McLean,39947,31883,1639,
Macon,25309,22780,941,
Macoupin,10946,9464,673,
Madison,60608,58922,2943,
Marion,9248,6225,347,
Marshall,3290,2455,124,
Mason,3265,2867,164,
Massac,4278,2092,125,
Menard,3948,2100,103,
Mercer,3876,4507,185,
Monroe,10888,6215,387,
Montgomery,6776,5058,354,
Morgan,7972,5806,364,
Moultrie,3784,2144,147,
Ogle,13422,9514,431,
Peoria,36774,40209,1428,
Perry,5507,3819,258,
Piatt,5413,3090,204,
Pike,4860,2278,164,
Pope,1512,650,60,
Pulaski,1564,1389,59,
Putnam,1502,1559,82,
Randolph,8290,5759,389,
Richland,4756,2362,164,
Rock Island,24934,39157,1126,
St. Clair,50125,67285,2417,
Saline,6806,3701,213,
Sangamon,50225,42107,1965,
Schuyler,2069,1727,106,
Scott,1587,910,71,
Shelby,6843,3342,254,
Stark,1528,1095,39,
Stephenson,10512,10165,451,
Tazewell,35335,24438,1509,
Union,4957,3137,224,
Vermilion,16892,12878,630,
Wabash,3478,1590,66,
Warren,3618,4044,156,
Washington,4792,2450,193,
Wayne,5988,1514,195,
White,4731,2188,163,
Whiteside,10448,14833,547,
Will,128969,144229,4964,
Williamson,17909,10647,698,
Winnebago,55138,61732,2527,
Woodford,12961,5572,405,
