2012 US Presidential Election,Romney,Obama,Other,
Adair,5651,4219,256,
Andrew,5457,2649,235,
Atchison,1902,756,51,
Audrain,6186,3539,227,
Barry,9832,3667,307,
Barton,4418,1230,98,
Bates,5020,2557,194,
Benton,6069,2925,163,
Bollinger,4095,1213,148,
Boone,37404,39847,2171,
Buchanan,18660,15594,852,
Butler,12248,4363,278,
Caldwell,2721,1312,134,
Callaway,11745,6071,416,
Camden,15092,6458,465,
Cape Girardeau,25370,9728,731,
Carroll,3072,1154,78,
Carter,1978,754,67,
Cass,30912,17044,1148,
Cedar,4376,1537,132,
Chariton,2402,1339,80,
Christian,27473,9813,678,
Clark,1730,1398,97,
Clay,56191,47310,2542,
Clinton,5931,3688,242,
Cole,24490,12005,567,
Cooper,4887,2474,150,
Crawford,6434,2951,194,
Dade,2895,939,62,
Dallas,4992,2122,165,
Daviess,2290,1125,106,
DeKalb,3056,1194,100,
Dent,4883,1585,203,
Douglas,4649,1710,198,
Dunklin,6850,3636,165,
Franklin,29396,16347,1186,
Gasconade,4895,2099,140,
Gentry,1988,937,74,
Greene,76900,46219,3300,
Grundy,3030,1212,132,
Harrison,2624,984,87,
Henry,6229,3606,347,
Hickory,2835,1733,112,
Holt,1725,551,34,
Howard,3017,1723,127,
Howell,11544,4395,407,
Iron,2252,1669,110,
Jackson,122708,183953,5400,
Jasper,31349,12809,1060,
Jefferson,53978,41564,2069,
Johnson,12763,7667,591,
Knox,1205,698,54,
Laclede,10934,4093,335,
Lafayette,9803,5655,408,
Lawrence,11421,4017,317,
Lewis,2677,1508,94,
Lincoln,14332,7734,586,
Linn,3344,2041,165,
Livingston,4006,1906,142,
McDonald,5694,1920,203,
Macon,4701,2309,150,
Madison,3227,1588,115,
Maries,3165,1299,74,
Marion,7923,4031,204,
Mercer,1255,353,47,
Miller,8099,2651,298,
Mississippi,2997,1858,65,
Moniteau,4704,1608,131,
Monroe,2564,1398,95,
Montgomery,3490,1740,97,
Morgan,5733,2773,182,
New Madrid,4284,2814,152,
Newton,18181,6425,587,
Nodaway,5593,3172,211,
Oregon,2886,1419,116,
Osage,5329,1473,117,
Ozark,3080,1261,112,
Pemiscot,3598,2671,66,
Perry,5669,2184,134,
Pettis,10842,5904,429,
Phelps,11895,5798,593,
Pike,4577,2582,162,
Platte,25618,19175,917,
Polk,9252,3580,287,
Pulaski,9092,4199,280,
Putnam,1673,587,49,
Ralls,3231,1736,69,
Randolph,6667,3031,277,
Ray,5815,4275,277,
Reynolds,1931,1157,114,
Ripley,3743,1396,124,
St. Charles,110784,71838,3744,
St. Clair,3019,1460,147,
Ste. Genevieve,4055,3813,202,
St. Francois,13248,8829,628,
St. Louis,224742,297097,8277,
Saline,5104,3790,214,
Schuyler,1174,697,68,
Scotland,1246,643,47,
Scott,11623,5122,254,
Shannon,2262,1302,128,
Shelby,2188,966,78,
Stoddard,9496,3153,217,
Stone,11787,3923,274,
Sullivan,1610,908,77,
Taney,15746,5479,434,
Texas,7618,2871,275,
Vernon,5758,2580,183,
Warren,9150,5219,307,
Washington,5071,3417,207,
Wayne,3790,1813,117,
Webster,10708,4409,377,
Worth,664,341,43,
Wright,5830,1953,172,
St. Louis,22943,118780,1884,
