2012 US Presidential Election,Romney,Obama,Other,
Adams,3171,1540,111,
Asotin,5654,4003,315,
Benton,49461,28145,2611,
Chelan,18402,13112,974,
Clallam,18437,18580,1368,
Clark,92951,93382,5843,
Columbia,1568,645,67,
Cowlitz,20746,22726,1540,
Douglas,9425,5166,469,
Ferry,1995,1294,199,
Franklin,13748,8398,618,
Garfield,913,336,32,
Grant,17852,8950,1027,
Grays Harbor,11914,15960,1073,
Island,19605,21478,1289,
Jefferson,6405,12739,817,
King,275700,668004,28317,
Kitsap,52846,67277,3978,
Kittitas,9782,7949,562,
Klickitat,5316,4598,477,
Lewis,20452,12664,1204,
Lincoln,4063,1673,175,
Mason,12761,14764,964,
Okanogan,9221,7108,674,
Pacific,4499,5711,426,
Pend Oreille,3952,2508,289,
Pierce,148467,186430,10035,
San Juan,3111,7125,456,
Skagit,25071,28688,1938,
Skamania,2687,2628,217,
Snohomish,133016,188516,10436,
Spokane,115285,102295,8174,
Stevens,13691,7762,1047,
Thurston,49287,74037,4416,
Wahkiakum,1119,1094,100,
Walla Walla,14648,9768,882,
Whatcom,42703,57089,3996,
Whitman,8507,8037,726,
Yakima,42239,33217,2050,
