2012 US Presidential Election,Romney,Obama,Other,
Adams,4644,5542,101,
Ashland,2820,5399,153,
Barron,11443,10890,359,
Bayfield,3603,6033,152,
Brown,64836,62526,1566,
Buffalo,3364,3570,105,
Burnett,4550,3986,141,
Calumet,14539,11489,392,
Chippewa,15322,15237,373,
Clark,7412,6172,217,
Columbia,13026,17175,345,
Crawford,3067,4629,121,
Dane,83644,216071,4466,
Dodge,25211,18762,515,
Door,8121,9357,193,
Douglas,7705,14863,326,
Dunn,10224,11316,452,
Eau Claire,23256,30666,884,
Florence,1645,953,27,
Fond du Lac,30355,22379,668,
Forest,2172,2425,51,
Grant,10255,13594,399,
Green,7857,11206,259,
Green Lake,5782,3793,100,
Iowa,4287,8105,142,
Iron,1790,1784,58,
Jackson,3900,5298,115,
Jefferson,23517,20158,606,
Juneau,5411,6242,174,
Kenosha,34977,44867,1053,
Kewaunee,5747,5153,137,
La Crosse,25751,36693,1018,
Lafayette,3314,4536,102,
Langlade,5816,4573,130,
Lincoln,7455,7563,198,
Manitowoc,21604,20403,610,
Marathon,36617,32363,882,
Marinette,10619,9882,276,
Marquette,3992,4014,99,
Menominee,179,1191,7,
Milwaukee,154924,332438,5214,
Monroe,9675,9515,295,
Oconto,10741,8865,253,
Oneida,10917,10452,283,
Outagamie,47372,45659,1565,
Ozaukee,36077,19159,581,
Pepin,1794,1876,29,
Pierce,10397,10235,388,
Polk,12094,10073,406,
Portage,16615,22075,647,
Price,3884,3887,130,
Racine,49347,53008,1009,
Richland,3573,4969,113,
Rock,30517,49219,954,
Rusk,3676,3397,118,
St. Croix,25503,19910,812,
Sauk,12838,18736,353,
Sawyer,4442,4486,97,
Shawano,11022,9000,257,
Sheboygan,34072,27918,661,
Taylor,5601,3763,148,
Trempealeau,5707,7605,169,
Vernon,5942,8044,283,
Vilas,7749,5951,142,
Walworth,29006,22552,745,
Washburn,4699,4447,141,
Washington,54765,23166,811,
Waukesha,162798,78779,2279,
Waupaca,14002,11578,260,
Waushara,6562,5335,151,
Winnebago,42122,45449,1602,
Wood,19704,18581,615,
