1960 US Presidential Election,Nixon,Kennedy,Unpledged,
District 1,180,257,0,
District 2,2115,1916,0,
District 3,853,763,0,
District 4,1069,1227,0,
District 5,2330,2105,0,
District 6,512,675,0,
District 7,318,318,0,
District 8,375,410,0,
District 9,1153,1054,0,
District 10,11119,9581,0,
District 11,568,634,0,
District 12,1005,1120,0,
District 13,631,867,0,
District 14,186,443,0,
District 15,372,634,0,
District 16,626,255,0,
District 17,360,279,0,
District 18,440,536,0,
District 19,4614,4780,0,
District 20,205,304,0,
District 21,192,246,0,
District 22,571,323,0,
District 23,1008,791,0,
District 24,151,291,0,
