1964 US Presidential Election,Goldwater,Johnson,Unpledged,
District 1,1554,3041,0,
District 2,464,1378,0,
District 3,651,1745,0,
District 4,1545,3762,0,
District 5,250,1056,0,
District 6,495,990,0,
District 7,963,1242,0,
District 8,9051,13537,0,
District 9,264,674,0,
District 10,1000,1627,0,
District 11,399,1183,0,
District 12,124,731,0,
District 13,267,931,0,
District 14,214,1501,0,
District 15,600,1366,0,
District 16,4340,6410,0,
District 17,252,1149,0,
District 18,420,1371,0,
District 19,77,635,0,
