1972 US Presidential Election,Nixon,McGovern,Other,
District 1,2529,1526,260,
District 2,1386,967,137,
District 3,1549,1393,88,
District 4,4277,2968,212,
District 5,1689,903,323,
District 6,2384,849,403,
District 7,4527,2854,476,
District 8,5275,2454,673,
District 9,6759,2501,785,
District 10,6882,2854,896,
District 11,2686,1337,821,
District 12,1117,727,56,
District 13,293,178,17,
District 14,1042,843,71,
District 15,919,1235,84,
District 16,902,1004,98,
District 17,7672,5535,1108,
District 18,1202,640,196,
District 19,1114,1155,65,
District 20,1145,1044,134,
