1976 US Presidential Election,Ford,Carter,Other,
District 1,2994,1983,239,
District 2,1423,1022,150,
District 3,1710,1152,144,
District 4,5252,3214,437,
District 5,2071,1307,260,
District 6,2882,1486,407,
District 7,4105,2935,404,
District 8,5412,3368,589,
District 9,2561,1726,340,
District 10,6837,2839,394,
District 11,6588,3568,678,
District 12,6381,2700,452,
District 13,4057,2099,496,
District 14,1380,856,146,
District 15,746,538,51,
District 16,1063,876,94,
District 17,1074,1149,87,
District 18,942,804,66,
District 19,1893,1415,302,
District 20,10306,6706,2084,
District 21,749,1229,70,
District 22,1129,1086,71,
