1996 US Presidential Election,Dole,Clinton,Perot,
District 1,4209,1480,696,
District 2,3247,2563,912,
District 3,2671,3724,654,
District 4,3336,3037,694,
District 5,2564,2148,826,
District 6,2707,1576,557,
District 7,3517,2177,907,
District 8,3624,1643,826,
District 9,3459,1334,727,
District 10,4184,2203,642,
District 11,3073,1946,603,
District 12,3568,1825,543,
District 13,3270,2780,608,
District 14,3005,1471,458,
District 15,1974,2178,552,
District 16,1328,1629,414,
District 17,3284,1868,633,
District 18,4245,2708,694,
District 19,3159,2014,636,
District 20,3025,2144,545,
District 21,2553,2228,557,
District 22,3887,2511,624,
District 23,2127,1071,388,
District 24,3653,1914,548,
District 25,4099,1629,691,
District 26,3913,1519,883,
District 27,4384,1887,1122,
District 28,4202,1645,1333,
District 29,3012,3023,658,
District 30,2785,1794,601,
District 31,2721,1903,684,
District 32,2736,1275,675,
District 33,4089,1852,759,
District 34,3677,1388,734,
District 35,3016,1447,875,
District 36,1992,2321,453,
District 37,1835,2134,456,
District 38,1716,2436,393,
District 39,1618,2692,404,
District 40,1280,1260,368,
Absentee,2,3,0,
