1996 US Presidential Election,Dole,Clinton,Perot,
Autauga,9509,5015,813,
Baldwin,29487,12776,4520,
Barbour,3627,4787,515,
Bibb,3037,2775,455,
Blount,9056,5061,985,
Bullock,1154,3078,111,
Butler,3352,3828,538,
Calhoun,18088,15725,2613,
Chambers,4707,5515,812,
Cherokee,3048,4399,899,
Chilton,7910,5354,929,
Choctaw,2623,4074,413,
Clarke,4785,4831,478,
Clay,2694,2306,538,
Cleburne,2063,1737,385,
Coffee,7805,5168,1042,
Colbert,8305,10226,1696,
Conecuh,2093,2903,445,
Coosa,1721,2121,262,
Covington,6035,4543,1098,
Crenshaw,1939,2172,317,
Cullman,14308,9544,2440,
Dale,8288,4732,1216,
Dallas,6612,10507,477,
DeKalb,9823,6544,1609,
Elmore,12937,6530,1368,
Escambia,5214,4651,867,
Etowah,16835,17976,2529,
Fayette,3191,3381,590,
Franklin,4449,5028,966,
Geneva,4725,3174,857,
Greene,796,3526,55,
Hale,1893,3372,190,
Henry,3082,3019,515,
Houston,17476,8791,1653,
Jackson,5650,8204,1573,
Jefferson,130980,120208,7997,
Lamar,2955,2843,597,
Lauderdale,14058,13619,2574,
Lawrence,3893,5254,964,
Lee,17985,12919,1949,
Limestone,10862,8045,1659,
Lowndes,1369,3970,72,
Macon,987,7018,150,
Madison,50390,42259,7437,
Marengo,4013,4899,337,
Marion,4742,5049,979,
Marshall,12323,8722,2150,
Mobile,66775,54749,7555,
Monroe,4382,3815,486,
Montgomery,37784,38382,2036,
Morgan,21765,14616,3348,
Perry,1703,4053,119,
Pickens,3322,4018,403,
Pike,5281,4514,503,
Randolph,3304,3023,603,
Russell,5025,7834,792,
St. Clair,12762,6187,1417,
Shelby,37090,11280,2035,
Sumter,1561,4706,172,
Talladega,10931,10385,1335,
Tallapoosa,7627,6071,1038,
Tuscaloosa,27939,23067,3048,
Walker,9837,12929,2012,
Washington,2900,3935,819,
Wilcox,1454,3303,71,
Winston,4728,3120,723,
