1968 US Presidential Election,Nixon,Humphrey,Wallace,
Alameda,153285,219545,28426,
Alpine,150,83,20,
Amador,2269,2440,660,
Butte,22225,12887,3891,
Calaveras,3042,2134,643,
Colusa,2361,1858,344,
Contra Costa,97486,101668,18330,
Del Norte,2387,2236,495,
El Dorado,7468,6054,1676,
Fresno,59901,65153,11292,
Glenn,3848,2466,808,
Humboldt,16719,16476,2759,
Imperial,10818,7481,2100,
Inyo,3641,2314,714,
Kern,53990,49284,12309,
Kings,7796,8643,1640,
Lake,4464,3777,838,
Lassen,2553,2930,712,
Los Angeles,1266480,1223251,151050,
Madera,6229,6932,1120,
Marin,41422,36278,3801,
Mariposa,1496,1187,302,
Mendocino,8305,7935,1554,
Merced,11595,14453,2248,
Modoc,1713,1264,284,
Mono,1130,465,156,
Monterey,33670,28261,4800,
Napa,14270,14762,3476,
Nevada,6061,4607,1078,
Orange,314905,148869,33034,
Placer,12427,14050,2574,
Plumas,2097,2961,529,
Riverside,83414,61146,12432,
Sacramento,97177,118769,16269,
San Benito,2961,2809,447,
San Bernardino,111974,89418,21187,
San Diego,261540,167669,33340,
San Francisco,100970,177509,17332,
San Joaquin,47293,42073,8923,
San Luis Obispo,19420,15828,2416,
San Mateo,98654,106519,14720,
Santa Barbara,50068,37565,5083,
Santa Clara,163446,173511,18754,
Santa Cruz,25365,20492,3465,
Shasta,11821,14510,2815,
Sierra,548,559,85,
Siskiyou,6334,6260,1088,
Solano,17683,27271,5810,
Sonoma,38088,33587,5875,
Stanislaus,29573,31316,3973,
Sutter,8665,4624,1228,
Tehama,5198,4565,1216,
Trinity,1426,1433,432,
Tulare,29314,22180,4580,
Tuolumne,4330,3913,865,
Ventura,59705,47794,8234,
Yolo,11123,15833,1742,
Yuba,5371,4461,1296,
