1972 US Presidential Election,Nixon,McGovern,Other,
Alameda,201862,259254,10079,
Alpine,366,195,15,
Amador,3533,2705,378,
Butte,28819,18401,2808,
Calaveras,4119,2268,392,
Colusa,2715,1810,192,
Contra Costa,139044,111718,6122,
Del Norte,2927,2156,565,
El Dorado,11330,8654,921,
Fresno,79051,72682,4986,
Glenn,4569,2681,493,
Humboldt,22345,21132,2286,
Imperial,14178,7982,689,
Inyo,4873,2006,280,
Kern,71686,41937,5570,
Kings,10509,7274,812,
Lake,6477,4715,558,
Lassen,3618,3134,370,
Los Angeles,1549717,1189977,90676,
Madera,7835,6580,477,
Marin,54123,47414,2346,
Mariposa,2122,1487,170,
Mendocino,11128,9435,1251,
Merced,17737,13914,997,
Modoc,2085,1271,209,
Mono,1872,828,99,
Monterey,47004,32545,2859,
Napa,23403,14529,1329,
Nevada,8004,5693,941,
Orange,448291,176847,31515,
Placer,18597,16911,1437,
Plumas,2952,3057,351,
Riverside,108120,71591,6693,
Sacramento,141218,137287,9716,
San Benito,3961,2582,338,
San Bernardino,144689,85986,11581,
San Diego,371627,206455,23055,
San Francisco,127461,170882,6427,
San Joaquin,61646,44062,5761,
San Luis Obispo,28566,20779,1688,
San Mateo,135377,109745,11175,
Santa Barbara,67075,50609,3857,
Santa Clara,237334,208506,11453,
Santa Cruz,34799,32336,2624,
Shasta,16618,17214,1771,
Sierra,629,658,37,
Siskiyou,7563,6434,699,
Solano,31314,24766,1885,
Sonoma,57697,43746,3991,
Stanislaus,39521,35005,2341,
Sutter,10224,5409,739,
Tehama,6054,5175,1195,
Trinity,1868,1621,192,
Tulare,36048,21775,2327,
Tuolumne,5894,4596,366,
Ventura,95310,49307,6188,
Yolo,17969,23694,1075,
Yuba,6623,4435,572,
