1984 US Presidential Election,Reagan,Mondale,Other,
Alameda,192408,282041,6425,
Alpine,264,194,8,
Amador,6986,4188,189,
Butte,45381,25421,1162,
Calaveras,7632,4081,164,
Colusa,3388,1725,75,
Contra Costa,172331,140994,2993,
Del Norte,3996,2696,149,
El Dorado,27583,14312,583,
Fresno,104757,86315,1864,
Glenn,6020,2488,124,
Humboldt,27832,25217,842,
Imperial,13829,8237,235,
Inyo,5863,2360,115,
Kern,94776,49567,1401,
Kings,13364,7324,160,
Lake,10874,8648,309,
Lassen,5352,3254,155,
Los Angeles,1424113,1158912,29889,
Madera,13954,8994,293,
Marin,56887,57533,1630,
Mariposa,3989,2399,130,
Mendocino,16369,14407,646,
Merced,24997,17012,468,
Modoc,2995,1219,96,
Mono,2659,962,56,
Monterey,55710,40733,1027,
Napa,26322,18599,640,
Nevada,19809,11198,761,
Orange,635013,206272,8792,
Placer,38035,21294,1098,
Plumas,5224,3837,167,
Riverside,182324,102043,2835,
Sacramento,204922,159128,4791,
San Benito,5695,3554,131,
San Bernardino,222071,116454,4180,
San Diego,502344,257029,9894,
San Francisco,90219,193278,3475,
San Joaquin,81795,53846,1572,
San Luis Obispo,49035,26946,969,
San Mateo,135185,122268,3178,
Santa Barbara,89314,51243,1763,
Santa Clara,288638,229865,8136,
Santa Cruz,41652,49091,1404,
Shasta,33041,19298,788,
Sierra,1078,781,37,
Siskiyou,10544,7130,427,
Solano,51678,41982,1138,
Sonoma,76447,71295,1915,
Stanislaus,55665,37459,861,
Sutter,14477,5535,311,
Tehama,11586,6527,342,
Trinity,3544,2218,173,
Tulare,51066,28065,812,
Tuolumne,10485,7283,283,
Ventura,151383,66550,2529,
Yolo,24329,25879,645,
Yuba,9780,5339,278,
