1992 US Presidential Election,Bush,Clinton,Perot,
Alameda,109292,334224,81643,
Alpine,222,215,186,
Amador,5477,5286,4553,
Butte,31608,32489,20231,
Calaveras,6006,5989,4848,
Colusa,2589,1798,1206,
Contra Costa,112965,194960,72518,
Del Norte,3083,3639,2575,
El Dorado,25906,21012,17503,
Fresno,89137,92418,36299,
Glenn,3812,2666,2278,
Humboldt,18299,28854,12340,
Imperial,9759,11109,4247,
Inyo,3689,2695,1999,
Kern,80762,60510,36891,
Kings,10673,9982,4899,
Lake,6678,10548,5797,
Lassen,3836,3388,3004,
Los Angeles,799607,1446529,488624,
Madera,13066,10863,6156,
Marin,30479,76158,22986,
Mariposa,2982,3023,2211,
Mendocino,7958,18344,9753,
Merced,17981,20133,10914,
Modoc,1803,1489,1269,
Mono,1570,1489,1248,
Monterey,36461,54861,24472,
Napa,15662,24215,13150,
Nevada,17343,15433,11072,
Orange,426613,306930,232394,
Placer,38298,30783,21741,
Plumas,3599,3742,2551,
Riverside,159457,166241,102233,
Sacramento,160366,197540,91412,
San Benito,4112,5354,3182,
San Bernardino,176563,183634,109183,
San Diego,352125,367397,259249,
San Francisco,57352,233263,29018,
San Joaquin,58355,63655,31205,
San Luis Obispo,36384,40136,27314,
San Mateo,75080,149232,50465,
Santa Barbara,57375,69215,35105,
Santa Clara,170870,296265,128895,
Santa Cruz,24916,66183,21615,
Shasta,28190,21605,17990,
Sierra,691,653,519,
Siskiyou,6660,8254,5567,
Solano,38883,64320,27851,
Sonoma,47619,104334,43859,
Stanislaus,47275,52415,27651,
Sutter,12956,7883,4881,
Tehama,7419,7508,5884,
Trinity,1886,1967,2092,
Tulare,40482,31188,16430,
Tuolumne,8525,9216,6294,
Ventura,94911,99011,71844,
Yolo,17574,33297,11073,
Yuba,7333,5785,3637,
