1996 US Presidential Election,Dole,Clinton,Perot,
Alameda,106581,303903,24270,
Alpine,264,258,63,
Amador,6870,5868,1267,
Butte,38961,30651,6393,
Calaveras,8279,6646,1612,
Colusa,3047,2054,404,
Contra Costa,123954,196512,20416,
Del Norte,3670,3652,1225,
El Dorado,32759,22957,5077,
Fresno,98813,94448,10962,
Glenn,5041,2841,788,
Humboldt,19803,24628,5811,
Imperial,9705,14591,1778,
Inyo,3924,2601,811,
Kern,92151,62658,13452,
Kings,12368,11254,1745,
Lake,7458,10432,2539,
Lassen,5194,3318,1080,
Los Angeles,746544,1430629,157752,
Madera,16510,11254,2192,
Marin,32714,67406,6559,
Mariposa,3976,2920,729,
Mendocino,9765,14952,3685,
Merced,20847,21786,3427,
Modoc,2285,1368,528,
Mono,1882,1580,447,
Monterey,39794,57700,7240,
Napa,17439,24588,4254,
Nevada,21784,15369,3330,
Orange,446717,327485,66195,
Placer,49808,34981,6542,
Plumas,4905,3540,919,
Riverside,178611,168579,35481,
Sacramento,166049,203019,23856,
San Benito,5384,7030,1044,
San Bernardino,180135,183372,39330,
San Diego,402876,389964,63037,
San Francisco,45479,209777,9659,
San Joaquin,65131,67253,9692,
San Luis Obispo,46733,40395,8204,
San Mateo,73508,152304,15047,
Santa Barbara,63915,70650,9457,
Santa Clara,168291,297639,34908,
Santa Cruz,27766,58250,6555,
Shasta,34736,20848,5875,
Sierra,877,573,170,
Siskiyou,8653,7022,1879,
Solano,40742,64644,8682,
Sonoma,53555,100738,13862,
Stanislaus,52403,53738,8360,
Sutter,14264,8504,1533,
Tehama,10292,7290,2325,
Trinity,2530,2203,856,
Tulare,46272,32669,5106,
Tuolumne,10386,8950,1925,
Ventura,109202,110772,23054,
Yolo,18807,33033,3150,
Yuba,7971,5789,1308,
