2000 US Presidential Election,Bush,Gore,Nader,
Alameda,119279,342889,27499,
Alpine,281,265,25,
Amador,8766,5906,584,
Butte,45584,31338,5727,
Calaveras,10599,7093,863,
Colusa,3629,1745,151,
Contra Costa,141373,224338,13067,
Del Norte,4526,3117,485,
El Dorado,42045,26220,3013,
Fresno,117342,95059,6541,
Glenn,5795,2498,268,
Humboldt,23219,24851,7100,
Imperial,12524,15489,608,
Inyo,4713,2652,344,
Kern,110663,66003,3474,
Kings,16377,11041,567,
Lake,8699,10717,1265,
Lassen,7080,2982,339,
Los Angeles,871930,1710505,83731,
Madera,20283,11650,1080,
Marin,34872,79135,8289,
Mariposa,4727,2816,379,
Mendocino,12272,16634,5051,
Merced,26102,22726,1166,
Modoc,2969,945,122,
Mono,2296,1788,230,
Monterey,43761,67618,5059,
Napa,20633,28097,2471,
Nevada,25998,17670,3287,
Orange,541299,391819,26833,
Placer,69835,42449,4449,
Plumas,6343,3458,456,
Riverside,231955,202576,11678,
Sacramento,195619,212792,17659,
San Benito,7015,9131,535,
San Bernardino,221757,214749,11775,
San Diego,475736,437666,33979,
San Francisco,51496,241578,24828,
San Joaquin,81773,79776,4195,
San Luis Obispo,56859,44526,6523,
San Mateo,80296,166757,10433,
Santa Barbara,71493,73411,8664,
Santa Clara,188750,332490,19072,
Santa Cruz,29627,66618,10844,
Shasta,43278,20127,2131,
Sierra,1172,540,86,
Siskiyou,12198,6323,872,
Solano,51604,75116,3869,
Sonoma,63529,117295,14324,
Stanislaus,67188,56448,3398,
Sutter,17350,8416,594,
Tehama,13270,6507,697,
Trinity,3340,1932,396,
Tulare,54070,33006,1834,
Tuolumne,13172,9359,949,
Ventura,136173,133258,10235,
Yolo,23057,33747,4107,
Yuba,9838,5546,507,
