2004 US Presidential Election,Bush,Kerry,Other,
Alameda,130911,422585,8594,
Alpine,311,373,17,
Amador,11107,6541,243,
Butte,51662,42448,2047,
Calaveras,13601,8286,456,
Colusa,4142,1947,77,
Contra Costa,150608,257254,5166,
Del Norte,5356,3892,173,
El Dorado,52878,32242,1244,
Fresno,141988,103154,2321,
Glenn,6308,2995,151,
Humboldt,25714,37988,2184,
Imperial,15890,17964,420,
Inyo,5091,3350,175,
Kern,140417,68603,2154,
Kings,21003,10833,274,
Lake,11093,13141,485,
Lassen,8126,3158,166,
Los Angeles,1076225,1907736,39319,
Madera,24871,13481,498,
Marin,34378,99070,1877,
Mariposa,5215,3251,192,
Mendocino,12955,24385,1089,
Merced,32773,24491,696,
Modoc,3235,1149,83,
Mono,2621,2628,89,
Monterey,47838,75241,1574,
Napa,22059,33666,874,
Nevada,28790,24220,910,
Orange,641832,419239,14328,
Placer,95969,55573,1736,
Plumas,6905,4129,156,
Riverside,322473,228806,6300,
Sacramento,235539,236657,5670,
San Benito,8698,9851,176,
San Bernardino,289306,227789,6181,
San Diego,596033,526437,13881,
San Francisco,54355,296772,6338,
San Joaquin,100978,87012,1874,
San Luis Obispo,67995,58742,2313,
San Mateo,83315,197922,3620,
Santa Barbara,76806,90314,2741,
Santa Clara,209094,386100,8622,
Santa Cruz,30354,89102,2628,
Shasta,52249,24339,1143,
Sierra,1249,646,53,
Siskiyou,12673,7880,346,
Solano,62301,85096,1440,
Sonoma,68204,148261,4225,
Stanislaus,85407,58829,1388,
Sutter,20254,9602,289,
Tehama,15572,7504,368,
Trinity,3560,2782,171,
Tulare,65399,32494,967,
Tuolumne,15745,10104,386,
Ventura,160314,148859,4020,
Yolo,28005,42885,1379,
Yuba,12076,5687,261,
