1992 US Presidential Election,Bush,Clinton,Perot,
Alachua,22813,37888,15296,
Baker,3418,1976,1315,
Bay,22842,12846,9712,
Bradford,3672,3041,1574,
Brevard,84585,61091,49509,
Broward,164832,276361,90937,
Calhoun,1721,1665,1176,
Charlotte,24311,22907,14720,
Citrus,16412,15937,12314,
Clay,26360,10610,8423,
Collier,38448,18796,14518,
Columbia,6492,5528,2906,
Desoto,3070,2646,1687,
Dixie,1401,1855,1094,
Duval,123631,92098,33388,
Escambia,52868,32045,19923,
Flagler,6246,6693,3390,
Franklin,1664,1535,1144,
Gadsden,3975,8486,1871,
Gilchrist,1395,1511,1090,
Glades,1185,1305,878,
Gulf,2651,1938,1245,
Hamilton,1402,1622,695,
Hardee,2900,2018,1499,
Hendry,3279,2691,2032,
Hernando,17902,19174,11848,
Highlands,14499,11237,6593,
Hillsborough,130643,115282,63054,
Holmes,3196,1877,1427,
Indian River,19140,12360,12375,
Jackson,6725,5482,2450,
Jefferson,1506,2271,895,
Lafayette,1039,867,612,
Lake,30825,23200,15614,
Lee,73436,53660,38452,
Leon,31983,47791,17212,
Levy,3796,4330,2784,
Liberty,1126,820,617,
Madison,2007,2648,1174,
Manatee,42725,33841,23290,
Marion,35442,30829,20529,
Martin,24800,14802,13442,
Dade,235313,254609,54003,
Monroe,9898,10450,8314,
Nassau,9367,5503,3255,
Okaloosa,32818,12038,16671,
Okeechobee,3298,3418,2647,
Orange,108788,82683,44844,
Osceola,19143,15010,11021,
Palm Beach,140350,187869,76243,
Pasco,47735,53130,34654,
Pinellas,159121,160528,101257,
Polk,65963,51450,28204,
Putnam,8910,10709,5979,
St. Johns,20188,12291,7400,
St. Lucie,24400,23876,19817,
Santa Rosa,17339,6556,8788,
Sarasota,66855,54552,34289,
Seminole,57101,35660,24487,
Sumter,4366,5027,2901,
Suwannee,4576,3988,2791,
Taylor,2693,2568,1929,
Union,1546,1248,770,
Volusia,59172,65223,30823,
Wakulla,2586,2320,1790,
Walton,5726,3888,3890,
Washington,3695,2544,1596,
