1996 US Presidential Election,Dole,Clinton,Perot,
Alachua,25316,40161,8073,
Baker,3686,2273,667,
Bay,28365,17068,5926,
Bradford,4039,3356,819,
Brevard,88022,80445,25256,
Broward,142870,320779,38967,
Calhoun,1717,1794,630,
Charlotte,27847,27121,7783,
Citrus,20125,22044,7246,
Clay,30370,13259,3282,
Collier,42593,23185,6320,
Columbia,7588,6691,1970,
Desoto,3275,3222,966,
Dixie,1399,1734,653,
Duval,126959,112328,13850,
Escambia,60997,37838,8597,
Flagler,8234,9585,2185,
Franklin,1563,2096,878,
Gadsden,3817,9407,938,
Gilchrist,1939,1985,841,
Glades,1361,1530,521,
Gulf,2430,2480,1054,
Hamilton,1520,1735,406,
Hardee,2928,2417,851,
Hendry,3855,3885,1135,
Hernando,22046,28524,7272,
Highlands,15617,14250,3739,
Hillsborough,136656,144266,25156,
Holmes,3249,2312,1208,
Indian River,22714,16375,4637,
Jackson,7189,6667,1602,
Jefferson,1851,2544,393,
Lafayette,1166,829,316,
Lake,35097,29752,8815,
Lee,80898,65699,18394,
Leon,33930,50072,6673,
Levy,4299,4938,1774,
Liberty,913,868,376,
Madison,2195,2794,578,
Manatee,44136,41891,10363,
Marion,41409,37045,11341,
Martin,28522,20855,5005,
Dade,209740,317555,24729,
Monroe,12076,15251,4824,
Nassau,12141,7277,1657,
Okaloosa,40683,16462,5433,
Okeechobee,3418,4826,1666,
Orange,106059,105539,18196,
Osceola,18337,21874,6092,
Palm Beach,133811,230687,30744,
Pasco,48355,66475,18013,
Pinellas,152155,184748,36994,
Polk,67962,66747,14993,
Putnam,9786,12010,3272,
St. Johns,27318,16716,4205,
St. Lucie,28899,36169,8483,
Santa Rosa,26301,10936,4961,
Sarasota,69213,63665,14941,
Seminole,59797,45058,9357,
Sumter,5960,7017,2375,
Suwannee,5742,4479,1874,
Taylor,3188,3583,1140,
Union,1636,1388,425,
Volusia,63091,78919,17320,
Wakulla,2933,3056,1091,
Walton,7709,5342,2342,
Washington,3524,2992,1287,
