2008 US Presidential Election,McCain,Obama,Other,
Alachua,48513,75565,1889,
Baker,8672,2327,88,
Bay,56683,23653,1030,
Bradford,8136,3430,137,
Brevard,157589,127620,3718,
Broward,237729,492640,4722,
Calhoun,4345,1821,98,
Charlotte,45205,39031,1263,
Citrus,43706,31460,1343,
Clay,67203,26697,823,
Collier,86379,54450,1159,
Columbia,18670,9171,374,
DeSoto,5632,4383,149,
Dixie,5194,1925,174,
Duval,210537,202618,3538,
Escambia,91411,61572,1891,
Flagler,23951,24726,540,
Franklin,3818,2134,97,
Gadsden,6811,15582,145,
Gilchrist,5656,1996,167,
Glades,2533,1674,54,
Gulf,4980,2149,89,
Hamilton,3179,2364,53,
Hardee,4763,2568,111,
Hendry,5780,4998,139,
Hernando,45021,41886,1350,
Highlands,26221,18135,566,
Hillsborough,236355,272963,5183,
Holmes,7033,1446,137,
Indian River,40176,29710,916,
Jackson,13717,7671,225,
Jefferson,3797,4088,93,
Lafayette,2679,642,56,
Lake,82802,62948,1621,
Lee,147608,119701,2668,
Leon,55705,91747,1483,
Levy,11754,6711,324,
Liberty,2339,895,52,
Madison,4544,4270,93,
Manatee,80721,70034,1712,
Marion,89628,70839,2075,
Martin,44143,33508,871,
Miami-Dade,360551,499831,4254,
Monroe,18933,20907,563,
Nassau,27403,10618,371,
Okaloosa,68789,25872,1120,
Okeechobee,7561,5108,170,
Orange,186832,273009,3198,
Osceola,40086,59962,877,
Palm Beach,226037,361271,4128,
Pasco,110104,102417,3068,
Pinellas,210066,248299,6787,
Polk,128878,113865,2961,
Putnam,19637,13236,406,
St. Johns,69222,35791,1068,
St. Lucie,52512,67125,1337,
Santa Rosa,55972,19470,935,
Sarasota,102897,102686,2422,
Seminole,105070,99335,2021,
Sumter,30866,17655,462,
Suwannee,12534,4916,261,
Taylor,6457,2803,127,
Union,3940,1300,70,
Volusia,113938,127795,3122,
Wakulla,8877,5311,188,
Walton,19561,7174,404,
Washington,8178,2863,126,
