2012 US Presidential Election,Romney,Obama,Other,
Alachua,48797,69699,2277,
Baker,8975,2311,104,
Bay,56876,22051,1174,
Bradford,8219,3325,120,
Brevard,159300,122993,4135,
Broward,244101,508312,4941,
Calhoun,4366,1664,153,
Charlotte,47996,35906,1021,
Citrus,44662,28460,1047,
Clay,70022,25759,1024,
Collier,96520,51698,1106,
Columbia,18429,8462,336,
DeSoto,5587,4174,126,
Dixie,5052,1798,109,
Duval,211615,196737,4381,
Escambia,88711,58185,2071,
Flagler,26969,23207,531,
Franklin,3570,1845,79,
Gadsden,6630,15770,125,
Gilchrist,5917,1885,135,
Glades,2344,1603,57,
Gulf,4995,2014,117,
Hamilton,3138,2228,54,
Hardee,4696,2463,85,
Hendry,5355,4751,109,
Hernando,44938,37830,1160,
Highlands,25915,16148,478,
Hillsborough,250186,286467,6776,
Holmes,6919,1264,107,
Indian River,43450,27492,638,
Jackson,13418,7342,207,
Jefferson,3808,3945,67,
Lafayette,2668,687,51,
Lake,87643,61799,1702,
Lee,154163,110157,2278,
Leon,55805,90881,1985,
Levy,12054,6119,284,
Liberty,2301,942,46,
Madison,4474,4176,77,
Manatee,85627,66503,1736,
Marion,93043,66831,1864,
Martin,48183,30107,747,
Miami-Dade,332981,541440,4758,
Monroe,19234,19404,516,
Nassau,29929,10251,445,
Okaloosa,70168,23421,1486,
Okeechobee,7328,4856,183,
Orange,188589,273665,5049,
Osceola,40592,67239,1091,
Palm Beach,247398,349651,4390,
Pasco,112427,98263,3558,
Pinellas,213258,239104,6750,
Polk,131577,114622,3243,
Putnam,19326,11667,431,
St. Johns,78513,35190,1332,
St. Lucie,56202,65869,1230,
Santa Rosa,58186,17768,1106,
Sarasota,110504,95119,2338,
Seminole,109943,96445,2732,
Sumter,40646,19524,376,
Suwannee,12672,4751,269,
Taylor,6249,2764,127,
Union,3980,1339,89,
Volusia,117490,114748,3016,
Wakulla,9290,5175,232,
Walton,21490,6671,421,
Washington,8038,2820,184,
