2008 US Presidential Election,McCain,Obama,Other,
Appling,5085,1846,71,
Atkinson,1941,938,28,
Bacon,3089,817,36,
Baker,828,846,15,
Baldwin,7823,8587,154,
Banks,5120,1027,102,
Barrow,17625,6657,351,
Bartow,25976,9662,537,
Ben Hill,3417,2590,45,
Berrien,4901,1471,81,
Bibb,27037,38987,424,
Bleckley,3657,1380,47,
Brantley,5080,1119,89,
Brooks,3507,2669,29,
Bryan,9112,3636,119,
Bulloch,14174,9586,216,
Burke,4344,5233,60,
Butts,5947,3065,92,
Calhoun,862,1342,8,
Camden,10502,6482,124,
Candler,2286,1209,27,
Carroll,28661,14334,588,
Catoosa,18218,6025,362,
Charlton,2466,1197,34,
Chatham,46829,62755,858,
Chattahoochee,811,830,15,
Chattooga,5572,2596,169,
Cherokee,70279,22350,1344,
Clarke,15333,29591,742,
Clay,558,879,3,
Clayton,16506,82527,481,
Clinch,1678,989,35,
Cobb,170957,141216,3951,
Coffee,8872,4811,75,
Colquitt,9185,4139,130,
Columbia,39322,15703,441,
Cook,3782,2075,52,
Coweta,37571,15521,543,
Crawford,3358,1832,58,
Crisp,4424,3085,45,
Dade,4703,1612,127,
Dawson,8242,1632,112,
Decatur,5890,4424,71,
DeKalb,65581,254594,2671,
Dodge,5543,2595,86,
Dooly,1991,2138,32,
Dougherty,12547,26135,204,
Douglas,26812,27825,560,
Early,2711,2603,29,
Echols,981,201,6,
Effingham,15230,4936,175,
Elbert,4868,3366,98,
Emanuel,5110,3068,74,
Evans,2462,1374,20,
Fannin,7807,2611,225,
Fayette,38501,20313,627,
Floyd,23132,10691,499,
Forsyth,59166,15406,931,
Franklin,6069,1914,120,
Fulton,130136,272000,3489,
Gilmer,8408,2614,164,
Glascock,1202,210,16,
Glynn,20479,12676,248,
Gordon,13113,4268,274,
Grady,5775,3539,57,
Greene,4532,3339,50,
Gwinnett,158746,129025,3167,
Habersham,11766,2900,193,
Hall,44962,14457,711,
Hancock,795,3535,18,
Haralson,8658,2248,224,
Harris,10648,4184,113,
Hart,6537,3365,122,
Heard,3133,1042,56,
Henry,47157,40567,762,
Houston,33392,22094,548,
Irwin,2605,1197,38,
Jackson,17776,4950,290,
Jasper,3916,1935,60,
Jeff Davis,3867,1356,63,
Jefferson,3061,4149,25,
Jenkins,1936,1482,24,
Johnson,2426,1198,26,
Jones,7782,4572,106,
Lamar,4873,2752,80,
Lanier,1787,1062,31,
Laurens,12052,7769,142,
Lee,9925,3100,87,
Liberty,5828,10474,98,
Lincoln,2731,1650,43,
Long,2119,1288,53,
Lowndes,21269,17597,384,
Lumpkin,8326,2586,196,
McDuffie,5400,3989,66,
McIntosh,3282,2905,49,
Macon,1712,3251,21,
Madison,8226,2965,174,
Marion,1772,1381,35,
Meriwether,4982,4465,71,
Miller,1899,818,23,
Mitchell,4201,3872,59,
Monroe,7933,4106,108,
Montgomery,2521,1045,27,
Morgan,5987,3091,87,
Murray,8180,3026,241,
Muscogee,29568,44158,436,
Newton,20337,20827,318,
Oconee,12120,4825,229,
Oglethorpe,4144,2232,87,
Paulding,39192,17229,655,
Peach,5173,5927,96,
Pickens,10004,2595,214,
Pierce,5500,1253,44,
Pike,6547,1575,99,
Polk,9850,4052,251,
Pulaski,2553,1377,32,
Putnam,5966,3102,71,
Quitman,509,597,10,
Rabun,5487,2001,145,
Randolph,1370,1833,14,
Richmond,26842,52100,480,
Rockdale,16921,20526,337,
Schley,1252,479,8,
Screven,3423,3024,40,
Seminole,2315,1660,32,
Spalding,14885,10141,269,
Stephens,7689,2705,158,
Stewart,783,1305,21,
Sumter,5717,6454,84,
Talbot,1301,2369,31,
Taliaferro,339,643,8,
Tattnall,4730,1932,64,
Taylor,2021,1536,30,
Telfair,2486,1862,28,
Terrell,1890,2501,30,
Thomas,10642,7720,132,
Tift,9431,4749,89,
Toombs,6658,2964,82,
Towns,4292,1391,81,
Treutlen,1826,1112,24,
Troup,15391,10455,222,
Turner,2096,1427,33,
Twiggs,2087,2402,33,
Union,8013,2486,191,
Upson,7291,4061,82,
Walker,17110,6095,449,
Walton,27253,8469,357,
Ware,8311,4034,91,
Warren,1087,1554,21,
Washington,4216,4607,55,
Wayne,7601,2858,116,
Webster,588,515,8,
Wheeler,1408,794,12,
White,8467,2174,158,
Whitfield,19230,8167,394,
Wilcox,2159,978,27,
Wilkes,2705,2315,40,
Wilkinson,2349,2298,31,
Worth,5780,2542,60,
