1968 US Presidential Election,Nixon,Humphrey,Wallace,
Adair,2789,1559,234,
Adams,1868,993,260,
Allamakee,4449,2245,407,
Appanoose,3497,3005,540,
Audubon,2592,1710,198,
Benton,5016,3944,602,
Black Hawk,25594,21097,2621,
Boone,5260,5219,562,
Bremer,5604,2481,423,
Buchanan,4541,3670,454,
Buena Vista,5599,3051,386,
Butler,4651,1673,252,
Calhoun,3715,2361,335,
Carroll,3927,4809,412,
Cass,5223,2136,369,
Cedar,4494,2675,438,
Cerro Gordo,10661,8554,1036,
Cherokee,4436,2705,340,
Chickasaw,3510,2966,286,
Clarke,2059,1655,286,
Clay,4325,2840,369,
Clayton,5132,3168,541,
Clinton,11513,9515,1059,
Crawford,4287,2851,539,
Dallas,5549,5062,640,
Davis,2016,1904,355,
Decatur,2261,2057,262,
Delaware,4650,2760,412,
Des Moines,8452,10164,1318,
Dickinson,3472,2286,281,
Dubuque,14197,18664,1701,
Emmet,3444,2163,230,
Fayette,6935,4098,636,
Floyd,4792,2971,390,
Franklin,3604,1777,240,
Fremont,2385,1484,396,
Greene,3208,2208,269,
Grundy,4866,1675,290,
Guthrie,3346,2063,335,
Hamilton,4607,3058,301,
Hancock,3544,2131,249,
Hardin,5308,3227,407,
Harrison,3867,2410,540,
Henry,4613,2532,503,
Howard,3141,2420,253,
Humboldt,3239,1940,217,
Ida,2753,1463,208,
Iowa,4133,2586,367,
Jackson,4535,3413,489,
Jasper,7901,6556,742,
Jefferson,4130,2411,377,
Johnson,11384,13541,736,
Jones,4513,3415,475,
Keokuk,3588,2807,332,
Kossuth,5350,4392,310,
Lee,8883,8076,1052,
Linn,30918,29898,3182,
Louisa,2529,1632,323,
Lucas,2543,1942,290,
Lyon,4195,1403,151,
Madison,3151,2192,327,
Mahaska,5670,3721,420,
Marion,5791,4618,597,
Marshall,9402,6362,819,
Mills,2916,1216,532,
Mitchell,3533,2103,192,
Monona,2980,2184,437,
Monroe,2143,2240,312,
Montgomery,4155,1892,425,
Muscatine,7361,4726,643,
O'Brien,5594,2146,322,
Osceola,2516,1420,164,
Page,5907,2128,634,
Palo Alto,3114,2874,234,
Plymouth,6236,3234,557,
Pocahontas,2940,2364,254,
Polk,51814,52731,9524,
Pottawattamie,16038,9495,2758,
Poweshiek,4470,3250,367,
Ringgold,1986,1237,256,
Sac,4182,2207,280,
Scott,25783,24596,4133,
Shelby,3886,2365,330,
Sioux,10010,2181,315,
Story,13327,9456,772,
Tama,4955,3767,494,
Taylor,2765,1501,368,
Union,3365,2137,374,
Van Buren,2294,1331,237,
Wapello,7825,9375,1355,
Warren,5619,4613,919,
Washington,4899,2679,349,
Wayne,2553,1723,283,
Webster,9349,8572,1026,
Winnebago,3543,2163,246,
Winneshiek,5600,3364,344,
Woodbury,21159,18281,2153,
Worth,2383,1815,214,
Wright,4299,2969,248,
