1968 US Presidential Election,Nixon,Humphrey,Wallace,
Adams,17444,11521,3115,
Alexander,2540,2929,1443,
Bond,3674,2516,758,
Boone,5936,2801,783,
Brown,1629,1265,247,
Bureau,11216,6304,1171,
Calhoun,1542,1329,266,
Carroll,5275,2558,440,
Cass,3411,3302,424,
Champaign,26027,18425,3857,
Christian,7486,8465,1730,
Clark,4809,2813,949,
Clay,4429,2878,672,
Clinton,6561,4453,1180,
Coles,10449,7337,1973,
Cook,960493,1181316,186921,
Crawford,5870,3383,840,
Cumberland,2671,1828,512,
DeKalb,14535,6974,1238,
De Witt,4247,2823,759,
Douglas,5058,2824,651,
DuPage,124893,48492,13814,
Edgar,6281,3565,1292,
Edwards,2633,1095,403,
Effingham,6698,4496,777,
Fayette,5449,4011,939,
Ford,5233,2216,550,
Franklin,9036,10095,1930,
Fulton,9582,9622,1234,
Gallatin,1802,1980,404,
Greene,3944,3094,660,
Grundy,6607,3407,1085,
Hamilton,2912,1951,643,
Hancock,6866,3720,806,
Hardin,1492,1199,187,
Henderson,2224,1635,288,
Henry,12524,8455,1725,
Iroquois,10885,3897,1225,
Jackson,9134,8856,1645,
Jasper,2944,2012,728,
Jefferson,7367,6476,1612,
Jersey,3806,3350,971,
Jo Daviess,5563,3228,607,
Johnson,2406,1143,421,
Kane,54144,26609,6340,
Kankakee,20025,14460,3735,
Kendall,7184,2228,780,
Knox,14216,9707,2394,
Lake,68999,43409,8738,
LaSalle,26054,22940,2590,
Lawrence,4883,3075,972,
Lee,9598,4727,925,
Livingston,11963,5234,950,
Logan,8638,4552,1083,
McDonough,8496,3785,628,
McHenry,27245,10896,2701,
McLean,22284,12779,2351,
Macon,21027,23369,5163,
Macoupin,10262,10750,2325,
Madison,39622,46384,14987,
Marion,8134,7737,1680,
Marshall,3897,2455,313,
Mason,3899,3365,572,
Massac,3578,1934,926,
Menard,2980,1640,372,
Mercer,4844,3143,607,
Monroe,5086,2822,1253,
Montgomery,7547,7318,1468,
Morgan,8902,6281,1137,
Moultrie,3094,2447,571,
Ogle,12168,4399,1060,
Peoria,37021,30937,5648,
Perry,5384,4449,1144,
Piatt,3973,2447,636,
Pike,5035,4191,697,
Pope,1307,732,226,
Pulaski,1741,2076,815,
Putnam,1351,988,162,
Randolph,7681,5953,1607,
Richland,4781,2495,853,
Rock Island,30404,34506,5054,
St. Clair,34442,50726,15260,
Saline,6913,5985,939,
Sangamon,36510,29542,6586,
Schuyler,2760,1475,346,
Scott,1971,1252,325,
Shelby,5487,4528,1115,
Stark,2292,1128,239,
Stephenson,11821,7040,1050,
Tazewell,22971,20712,4711,
Union,3889,3603,871,
Vermilion,21391,16238,5726,
Wabash,3529,2244,614,
Warren,5877,3085,824,
Washington,4793,2093,671,
Wayne,5532,2993,745,
White,5351,3837,761,
Whiteside,15177,8132,1179,
Will,43630,31576,12595,
Williamson,11886,9660,2031,
Winnebago,47646,36702,6176,
Woodford,7876,4005,856,
