1976 US Presidential Election,Ford,Carter,Other,
Adams,18189,11926,370,
Alexander,2349,3246,63,
Bond,3716,3682,80,
Boone,6470,4458,154,
Brown,1519,1533,51,
Bureau,10854,7566,228,
Calhoun,1364,1549,30,
Carroll,5059,3372,95,
Cass,3524,3589,31,
Champaign,34546,26858,1703,
Christian,7445,9306,209,
Clark,4506,4071,45,
Clay,3860,3837,32,
Clinton,7245,6275,151,
Coles,11021,8639,502,
Cook,987498,1180814,41436,
Crawford,5522,5007,93,
Cumberland,2518,2752,74,
DeKalb,18193,11535,1000,
De Witt,4137,3477,52,
Douglas,4635,3826,61,
DuPage,175055,72137,7355,
Edgar,5842,5058,121,
Edwards,2379,1648,39,
Effingham,7194,5952,245,
Fayette,5059,5128,68,
Ford,4801,2690,62,
Franklin,7420,12818,86,
Fulton,9588,9314,188,
Gallatin,1499,2611,13,
Greene,3706,4057,64,
Grundy,7581,5534,86,
Hamilton,2433,3036,29,
Hancock,6043,4730,108,
Hardin,1393,1602,22,
Henderson,2210,2152,45,
Henry,12849,9822,263,
Iroquois,10129,5167,185,
Jackson,10152,12940,1030,
Jasper,2794,2772,84,
Jefferson,7422,8989,109,
Jersey,4273,4625,85,
Jo Daviess,5478,3979,171,
Johnson,2417,2182,29,
Kane,59275,34057,2042,
Kankakee,23003,18394,711,
Kendall,9011,4202,136,
Knox,14123,11525,319,
Lake,92231,57741,2922,
LaSalle,25114,23105,646,
Lawrence,4345,4044,53,
Lee,8674,6076,326,
Livingston,10097,5174,369,
Logan,8623,5686,77,
McDonough,9683,5464,387,
McHenry,37115,16799,1075,
McLean,28493,16601,785,
Macon,24893,28243,463,
Macoupin,10242,11910,334,
Madison,44183,56457,1358,
Marion,8729,9834,157,
Marshall,4017,2570,75,
Mason,3847,3947,55,
Massac,3226,3666,45,
Menard,3137,2301,41,
Mercer,4816,4090,76,
Monroe,5602,3984,130,
Montgomery,7379,8322,147,
Morgan,8885,7403,201,
Moultrie,2803,3332,34,
Ogle,11073,6463,261,
Peoria,46526,34606,991,
Perry,5286,5976,133,
Piatt,4442,3509,69,
Pike,4975,5006,129,
Pope,1187,1070,18,
Pulaski,1836,2489,20,
Putnam,1572,1344,43,
Randolph,8190,8693,155,
Richland,4434,3485,138,
Rock Island,34007,35994,1260,
St. Clair,40333,59177,1555,
Saline,5970,7472,51,
Sangamon,43309,38017,1584,
Schuyler,2635,2014,20,
Scott,1789,1424,19,
Shelby,5234,6172,87,
Stark,2191,1146,122,
Stephenson,11678,7192,267,
Tazewell,28951,22821,731,
Union,3531,5003,44,
Vermilion,19751,18438,357,
Wabash,3388,2781,58,
Warren,5822,3808,196,
Washington,4485,3222,137,
Wayne,5211,4303,67,
White,4600,5306,27,
Whiteside,14308,11255,291,
Will,61784,51103,1840,
Williamson,10703,13600,250,
Winnebago,52736,42399,2252,
Woodford,8899,4819,186,
