1980 US Presidential Election,Reagan,Carter,Anderson,
Adams,19842,10606,1202,
Alexander,2650,2925,74,
Bond,4398,2834,244,
Boone,6697,3175,1578,
Brown,1660,950,59,
Bureau,11484,5753,1093,
Calhoun,1591,1208,76,
Carroll,5084,2154,705,
Cass,3965,2543,199,
Champaign,33329,21017,9972,
Christian,8770,6625,499,
Clark,5476,2855,243,
Clay,4447,2587,187,
Clinton,8500,4470,528,
Coles,11994,6743,1726,
Cook,856574,1124584,149712,
Crawford,5894,3372,341,
Cumberland,3159,1892,190,
DeKalb,16370,8913,4526,
De Witt,4648,2262,368,
Douglas,5330,2564,344,
DuPage,182308,68991,29810,
Edgar,6639,3394,400,
Edwards,2556,1041,118,
Effingham,9104,4229,393,
Fayette,6523,3614,229,
Ford,5024,1803,328,
Franklin,9731,9425,558,
Fulton,10316,7481,838,
Gallatin,1700,1678,78,
Greene,4224,2607,220,
Grundy,8397,3970,701,
Hamilton,3254,1990,171,
Hancock,6597,3522,383,
Hardin,1721,1314,56,
Henderson,2443,1609,143,
Henry,14506,7977,1440,
Iroquois,11247,3362,592,
Jackson,10505,10291,2526,
Jasper,3548,1846,157,
Jefferson,8972,6761,506,
Jersey,5266,3324,314,
Jo Daviess,5186,2678,983,
Johnson,3201,1586,84,
Kane,64106,29015,9179,
Kankakee,23810,14626,1802,
Kendall,10028,3143,979,
Knox,14907,8749,2069,
Lake,96350,48287,17726,
LaSalle,27323,16818,3041,
Lawrence,4453,3030,293,
Lee,11373,3170,781,
Livingston,11544,4111,980,
Logan,9681,3916,650,
McDonough,8995,4093,1230,
McHenry,40045,14540,5871,
McLean,30096,13587,4961,
Macon,28298,22325,2804,
Macoupin,12131,9116,901,
Madison,51160,43860,4206,
Marion,10969,6990,567,
Marshall,4349,1903,336,
Mason,4644,2680,267,
Massac,4284,2821,124,
Menard,3622,1589,274,
Mercer,5144,3361,540,
Monroe,6315,3121,405,
Montgomery,8947,5721,611,
Morgan,10406,5483,900,
Moultrie,3495,2332,280,
Ogle,12533,4067,2042,
Peoria,47815,28276,6169,
Perry,5888,4337,319,
Piatt,4867,2421,447,
Pike,5301,3695,303,
Pope,1501,880,58,
Pulaski,2083,1955,49,
Putnam,1959,1158,235,
Randolph,8810,6052,514,
Richland,5241,2463,358,
Rock Island,34788,30045,5818,
St. Clair,46063,50046,3879,
Saline,7157,5683,321,
Sangamon,49372,29354,5439,
Schuyler,2799,1445,155,
Scott,1990,941,80,
Shelby,6441,3988,381,
Stark,2358,806,147,
Stephenson,10779,6195,3145,
Tazewell,35481,16924,3206,
Union,4289,3781,291,
Vermilion,22579,14498,2110,
Wabash,3571,1975,230,
Warren,5667,2756,489,
Washington,5354,2158,205,
Wayne,6013,3258,222,
White,5279,3463,274,
Whiteside,17389,7191,1242,
Will,69310,41975,7855,
Williamson,14451,10779,793,
Winnebago,48825,32384,22596,
Woodford,10791,3552,711,
