1992 US Presidential Election,Bush,Clinton,Perot,
Adams,13529,11748,6157,
Alexander,1301,2566,474,
Bond,2715,3428,1373,
Boone,5589,5114,2880,
Brown,1029,1146,504,
Bureau,6836,7551,3465,
Calhoun,745,1519,532,
Carroll,3297,2854,1502,
Cass,2162,3200,1072,
Champaign,27096,35003,13571,
Christian,5087,9042,3401,
Clark,3175,3338,1450,
Clay,2471,2962,1193,
Clinton,5771,6686,3315,
Coles,8098,9402,4707,
Cook,605300,1249533,281999,
Crawford,3606,3964,2062,
Cumberland,1860,2111,1209,
DeKalb,12655,13744,7680,
De Witt,3164,3009,1543,
Douglas,3309,3341,1600,
DuPage,178271,114564,76839,
Edgar,3790,4014,1930,
Edwards,1601,1299,634,
Effingham,6329,5221,3354,
Fayette,3508,4833,1730,
Ford,3046,2175,1222,
Franklin,5504,12744,3180,
Fulton,5062,9725,2874,
Gallatin,990,2371,568,
Greene,2391,3164,1461,
Grundy,6346,6122,3724,
Hamilton,1521,2582,862,
Hancock,3714,4213,2091,
Hardin,985,1665,515,
Henderson,1310,2013,715,
Henry,8989,11077,4231,
Iroquois,6948,4440,3073,
Jackson,6899,13373,3995,
Jasper,1996,2284,1160,
Jefferson,5497,8665,3403,
Jersey,2933,4749,2363,
Jo Daviess,4249,4044,2102,
Johnson,2124,2299,944,
Kane,55684,44568,27179,
Kankakee,15411,17229,7264,
Kendall,8521,5423,4394,
Knox,8331,12524,4357,
Lake,99000,81693,42384,
LaSalle,16078,23276,10434,
Lawrence,2681,3270,1498,
Lee,6652,5530,3191,
Livingston,8004,6007,3029,
Logan,6567,5169,2420,
McDonough,5297,5814,2770,
McHenry,41356,24783,21817,
McLean,25726,23090,10282,
Macon,18684,27449,9236,
Macoupin,6518,12050,5018,
Madison,32167,58484,23110,
Marion,5764,9669,3407,
Marshall,2491,2819,1169,
Mason,2473,3969,1245,
Massac,2754,3347,892,
Menard,2834,2264,1179,
Mercer,2983,3990,1535,
Monroe,4807,4894,2813,
Montgomery,4407,7424,2956,
Morgan,6566,6351,3317,
Moultrie,2065,3056,1322,
Ogle,9008,6512,4455,
Peoria,30718,38099,12195,
Perry,3105,6009,1955,
Piatt,3076,3520,1822,
Pike,3342,4016,1643,
Pope,951,1063,391,
Pulaski,1169,1987,379,
Putnam,969,1574,752,
Randolph,4899,8529,3092,
Richland,3053,3286,1689,
Rock Island,23212,37412,10416,
St. Clair,31951,57625,17592,
Saline,3667,7258,2302,
Sangamon,39641,40052,16861,
Schuyler,1512,1650,815,
Scott,1132,1057,588,
Shelby,3631,5101,2401,
Stark,1384,1336,625,
Stephenson,9005,7899,4677,
Tazewell,23469,26428,9927,
Union,3003,4681,1373,
Vermilion,11703,18383,8162,
Wabash,2485,2436,1302,
Warren,3325,3661,1436,
Washington,3003,2986,1542,
Wayne,3809,3332,1702,
White,3057,4308,1428,
Whiteside,10146,12329,4589,
Will,58337,59633,32788,
Williamson,9462,14361,4779,
Winnebago,42221,48298,21227,
Woodford,8032,5490,2733,
