1996 US Presidential Election,Dole,Clinton,Perot,
Adams,13836,11336,3069,
Alexander,1212,2753,321,
Bond,3018,3213,685,
Boone,6181,5345,1377,
Brown,1053,997,237,
Bureau,6528,7651,1798,
Calhoun,941,1676,363,
Carroll,3029,2926,792,
Cass,2214,2834,589,
Champaign,28232,32454,4806,
Christian,5563,7431,1727,
Clark,3409,2995,781,
Clay,2703,2750,719,
Clinton,6065,6104,1580,
Coles,8038,8950,2137,
Cook,461557,1153289,96633,
Crawford,3965,3627,1057,
Cumberland,2002,1776,657,
DeKalb,12380,12715,3009,
De Witt,2978,2878,694,
Douglas,3272,2955,740,
DuPage,164630,129709,27419,
Edgar,3746,3552,935,
Edwards,1613,1089,384,
Effingham,7696,4825,1555,
Fayette,3881,3887,964,
Ford,3077,2065,590,
Franklin,5354,9814,2096,
Fulton,5155,8857,1610,
Gallatin,856,2113,527,
Greene,2245,2734,903,
Grundy,6177,6759,1860,
Hamilton,1677,2242,560,
Hancock,3961,4001,1148,
Hardin,790,1323,485,
Henderson,1233,1953,408,
Henry,8393,11201,2194,
Iroquois,6564,4559,1522,
Jackson,7422,12214,2082,
Jasper,2234,2038,641,
Jefferson,5937,7263,1647,
Jersey,3211,4275,1186,
Jo Daviess,3915,4171,1131,
Johnson,2241,2009,640,
Kane,54375,47902,11270,
Kankakee,14595,16820,3574,
Kendall,8958,6499,2055,
Knox,7822,12487,2096,
Lake,93149,93315,16640,
LaSalle,15299,21643,5259,
Lawrence,2568,2871,916,
Lee,6677,5895,1520,
Livingston,7653,5641,1409,
Logan,6518,4618,1141,
McDonough,5049,5632,1217,
McHenry,41136,31240,10082,
McLean,26428,22708,3816,
Macon,18161,24256,4540,
Macoupin,7235,11107,2532,
Madison,35758,53568,10121,
Marion,5999,7792,1825,
Marshall,2453,2640,586,
Mason,2430,3385,600,
Massac,2507,2841,675,
Menard,3106,2204,534,
Mercer,2688,4278,889,
Monroe,5350,4798,1276,
Montgomery,4770,6338,1436,
Morgan,6352,6150,1633,
Moultrie,2199,2629,596,
Ogle,9558,6765,1876,
Peoria,30990,37383,5220,
Perry,3237,5347,1262,
Piatt,3265,3274,818,
Pike,3225,3604,1039,
Pope,850,915,277,
Pulaski,1036,1524,235,
Putnam,987,1425,322,
Randolph,5422,7419,1698,
Richland,3137,2679,927,
Rock Island,20626,34822,5135,
St. Clair,33066,53405,7027,
Saline,3693,6156,1752,
Sangamon,42174,38902,6446,
Schuyler,1597,1636,483,
Scott,1112,1012,396,
Shelby,4215,4249,1262,
Stark,1278,1262,312,
Stephenson,8871,7145,1940,
Tazewell,24395,24139,4814,
Union,3147,4252,832,
Vermilion,12015,15525,3577,
Wabash,2381,2177,683,
Warren,2974,3500,742,
Washington,3339,2744,790,
Wayne,4029,3054,999,
White,2878,3553,888,
Whiteside,8859,11913,2436,
Will,62506,69354,15485,
Williamson,9734,12510,2877,
Winnebago,44479,46264,8192,
Woodford,8527,5270,1170,
