2000 US Presidential Election,Bush,Gore,Nader,
Adams,17331,12197,371,
Alexander,1588,2357,28,
Bond,3804,3060,113,
Boone,8617,6481,325,
Brown,1529,1077,29,
Bureau,8526,7754,363,
Calhoun,1229,1310,42,
Carroll,3835,3113,154,
Cass,2968,2789,94,
Champaign,34645,35515,3543,
Christian,7537,6799,269,
Clark,4398,2932,126,
Clay,3789,2212,78,
Clinton,8588,6436,295,
Coles,10495,8904,507,
Cook,534542,1280547,42068,
Crawford,4974,3333,118,
Cumberland,2964,1870,72,
DeKalb,17139,14798,1032,
De Witt,3968,2870,133,
Douglas,4734,3215,132,
DuPage,201037,152550,8711,
Edgar,4833,3216,113,
Edwards,2212,978,42,
Effingham,9855,4225,213,
Fayette,5200,3886,122,
Ford,3889,2090,116,
Franklin,8490,10201,347,
Fulton,6936,8940,276,
Gallatin,1591,1878,40,
Greene,3129,2490,93,
Grundy,8709,7516,257,
Hamilton,2519,1943,75,
Hancock,5134,4256,161,
Hardin,1366,1184,41,
Henderson,1708,2030,74,
Henry,10896,11921,428,
Iroquois,8685,4397,229,
Jackson,9823,11773,1228,
Jasper,3119,1815,50,
Jefferson,8362,6685,211,
Jersey,4699,4355,231,
Jo Daviess,5304,4585,314,
Johnson,3285,1928,83,
Kane,76996,60127,3274,
Kankakee,20049,19180,713,
Kendall,13688,8444,481,
Knox,9912,12572,455,
Lake,120988,115058,4843,
LaSalle,21276,23355,992,
Lawrence,3594,2822,101,
Lee,8069,6111,320,
Livingston,9187,5829,285,
Logan,8141,4600,208,
McDonough,6465,6080,364,
McHenry,62112,40698,2751,
McLean,34008,24936,1546,
Macon,23830,24262,982,
Macoupin,9749,11015,426,
Madison,48821,59077,2359,
Marion,8240,8068,238,
Marshall,3145,2570,134,
Mason,3411,3192,117,
Massac,3676,2912,83,
Menard,3862,2164,135,
Mercer,3688,4400,156,
Monroe,7632,5797,262,
Montgomery,6226,6542,191,
Morgan,8058,5899,253,
Moultrie,3058,2529,78,
Ogle,12325,7673,467,
Peoria,36398,38604,1332,
Perry,4802,4862,173,
Piatt,4619,3488,217,
Pike,4706,3198,115,
Pope,1346,927,31,
Pulaski,1430,1518,31,
Putnam,1437,1657,58,
Randolph,7127,6794,229,
Richland,4718,2491,134,
Rock Island,25194,37957,1364,
St. Clair,42299,55961,1569,
Saline,5933,5427,181,
Sangamon,50374,38414,2001,
Schuyler,2077,1587,72,
Scott,1458,954,31,
Shelby,5851,4018,162,
Stark,1694,1211,55,
Stephenson,10715,8062,476,
Tazewell,31537,25379,1022,
Union,4397,3982,189,
Vermilion,15783,15406,605,
Wabash,3406,1987,75,
Warren,3899,3524,130,
Washington,4353,2638,96,
Wayne,5347,2209,77,
White,4521,2958,113,
Whiteside,11252,12886,515,
Will,95828,90902,3769,
Williamson,14012,12192,476,
Winnebago,53816,51981,2637,
Woodford,10905,5529,263,
