2004 US Presidential Election,Bush,Kerry,Other,
Adams,20834,10511,132,
Alexander,1831,2016,26,
Bond,4068,3228,73,
Boone,11132,8286,123,
Brown,1679,895,11,
Bureau,9822,7961,119,
Calhoun,1317,1367,22,
Carroll,4534,3537,64,
Cass,3163,2492,45,
Champaign,39896,41524,1014,
Christian,9044,6112,111,
Clark,5082,2877,48,
Clay,4416,2101,37,
Clinton,10219,6797,115,
Coles,13015,9566,199,
Cook,597405,1439724,12305,
Crawford,6083,3194,55,
Cumberland,3497,1862,57,
DeKalb,21095,19263,410,
De Witt,4920,2836,42,
Douglas,5702,2767,71,
DuPage,218902,180097,3447,
Edgar,5258,3093,78,
Edwards,2412,930,22,
Effingham,11774,4388,116,
Fayette,5880,3571,98,
Ford,4511,1912,56,
Franklin,10388,8816,148,
Fulton,7818,9080,137,
Gallatin,1619,1573,33,
Greene,3559,2457,52,
Grundy,11198,8463,170,
Hamilton,2653,1814,47,
Hancock,5837,3975,87,
Hardin,1501,923,13,
Henderson,1857,2269,27,
Henry,13212,11877,152,
Iroquois,9914,3832,89,
Jackson,11190,14300,336,
Jasper,3529,1781,26,
Jefferson,10160,6713,75,
Jersey,5435,4597,105,
Jo Daviess,6174,5311,99,
Johnson,3997,1813,55,
Kane,92065,73813,1419,
Kankakee,24739,20003,294,
Kendall,19776,12497,254,
Knox,11111,13403,194,
Lake,139081,134352,1862,
LaSalle,26101,24263,365,
Lawrence,4162,2518,49,
Lee,9307,6416,153,
Livingston,10316,5632,91,
Logan,9112,4273,82,
McDonough,7656,7119,154,
McHenry,76412,50330,1206,
McLean,41276,29877,467,
Macon,28118,23341,287,
Macoupin,11413,11193,179,
Madison,59384,63399,895,
Marion,9413,7694,117,
Marshall,3734,2806,44,
Mason,3907,3215,61,
Massac,4578,2805,41,
Menard,4408,2137,29,
Mercer,4405,4512,57,
Monroe,9468,6788,114,
Montgomery,6851,5979,100,
Morgan,9392,5650,138,
Moultrie,4028,2388,50,
Ogle,14918,9018,155,
Peoria,41051,41121,599,
Perry,5589,4770,66,
Piatt,5392,3124,70,
Pike,5032,2849,99,
Pope,1500,918,18,
Pulaski,1720,1372,16,
Putnam,1623,1704,25,
Randolph,8076,6771,109,
Richland,5153,2529,67,
Rock Island,29663,39880,429,
St. Clair,50203,62410,576,
Saline,7057,4697,60,
Sangamon,55904,38630,841,
Schuyler,2403,1594,34,
Scott,1696,927,13,
Shelby,6753,3744,80,
Stark,1841,1189,31,
Stephenson,12212,8913,195,
Tazewell,36058,25814,466,
Union,5333,3735,51,
Vermilion,18731,14726,257,
Wabash,4212,1752,42,
Warren,4474,3938,45,
Washington,5072,2986,46,
Wayne,6102,2139,46,
White,5180,3071,50,
Whiteside,12959,13723,191,
Will,130728,117172,1709,
Williamson,18086,11685,189,
Winnebago,60782,59740,903,
Woodford,12698,6005,99,
