2008 US Presidential Election,McCain,Obama,Other,
Adams,18711,11794,397,
Alexander,1692,2189,66,
Bond,3947,3843,170,
Boone,10403,11333,502,
Brown,1544,986,47,
Bureau,7911,8889,353,
Calhoun,1221,1423,62,
Carroll,3596,3965,132,
Cass,2617,2690,125,
Champaign,33871,48597,1940,
Christian,7872,6918,365,
Clark,4409,3742,161,
Clay,3926,2425,115,
Clinton,9357,7657,300,
Coles,10978,11716,459,
Cook,487736,1629024,20706,
Crawford,5070,3883,200,
Cumberland,3156,2055,128,
DeKalb,18266,25784,924,
De Witt,4348,3308,175,
Douglas,5005,3228,146,
DuPage,183626,228698,5649,
Edgar,4398,3743,143,
Edwards,2137,1140,85,
Effingham,11323,5262,295,
Fayette,5499,3967,242,
Ford,4079,2227,94,
Franklin,9404,8880,430,
Fulton,6251,9732,386,
Gallatin,1212,1587,73,
Greene,3053,2619,154,
Grundy,10687,11063,482,
Hamilton,2353,1796,135,
Hancock,5161,4141,167,
Hardin,1330,892,40,
Henderson,1541,2215,73,
Henry,11263,13181,405,
Iroquois,8695,4643,286,
Jackson,9687,15248,682,
Jasper,2964,2063,115,
Jefferson,9302,7462,457,
Jersey,5329,5042,244,
Jo Daviess,5170,6403,177,
Johnson,3912,1871,131,
Kane,83963,106756,2644,
Kankakee,22527,24750,861,
Kendall,21380,24742,609,
Knox,9419,14191,488,
Lake,118545,177242,4113,
LaSalle,21872,27443,995,
Lawrence,3403,3016,139,
Lee,8258,7765,334,
Livingston,9191,6189,289,
Logan,7429,5250,262,
McDonough,6055,6783,234,
McHenry,64845,72288,2499,
McLean,36767,37689,1422,
Macon,24948,25487,954,
Macoupin,9891,12090,462,
Madison,57177,68979,2534,
Marion,8691,8345,374,
Marshall,3145,3081,122,
Mason,3141,3542,148,
Massac,4371,2693,145,
Menard,3672,2706,99,
Mercer,3833,4887,150,
Monroe,9881,7953,295,
Montgomery,6150,6491,268,
Morgan,7591,7467,336,
Moultrie,3471,2668,134,
Ogle,13144,11253,537,
Peoria,34579,45906,1219,
Perry,5086,4701,208,
Piatt,4991,3859,168,
Pike,4457,3024,162,
Pope,1343,845,43,
Pulaski,1593,1638,39,
Putnam,1378,1900,64,
Randolph,7538,7395,269,
Richland,4329,3181,163,
Rock Island,25364,42210,1034,
St. Clair,47958,76160,1936,
Saline,6099,5083,294,
Sangamon,46945,51300,1861,
Schuyler,1833,1900,106,
Scott,1455,1090,62,
Shelby,6396,4245,261,
Stark,1513,1357,49,
Stephenson,9909,11349,399,
Tazewell,33247,29384,1429,
Union,5003,3918,233,
Vermilion,16054,16246,716,
Wabash,3254,2462,78,
Warren,3637,4286,138,
Washington,4473,3342,117,
Wayne,5390,2547,134,
White,3987,3315,151,
Whiteside,10883,15607,504,
Will,122597,160406,4178,
Williamson,17039,12589,638,
Winnebago,53886,70034,2784,
Woodford,12191,6999,350,
