1980 US Presidential Election,Reagan,Carter,Anderson,
Adams,6368,4673,767,
Allen,68524,37765,10368,
Bartholomew,15801,9260,1604,
Benton,3189,1520,187,
Blackford,3168,2431,258,
Boone,10484,4535,681,
Brown,2884,2014,237,
Carroll,5262,2966,338,
Cass,11500,5838,696,
Clark,15508,14137,1102,
Clay,6980,4363,311,
Clinton,8158,5258,427,
Crawford,2554,2130,124,
Daviess,7022,4057,345,
Dearborn,7467,5135,464,
Decatur,5819,3646,377,
DeKalb,7886,4911,883,
Delaware,28342,20923,2743,
Dubois,6775,6700,578,
Elkhart,30081,14883,3256,
Fayette,6004,4304,293,
Floyd,12456,11543,1047,
Fountain,5289,2845,280,
Franklin,4551,2834,234,
Fulton,5458,2788,349,
Gibson,7643,6834,591,
Grant,19078,10390,1043,
Greene,7452,6027,299,
Hamilton,26218,7036,1736,
Hancock,12093,5124,746,
Harrison,6287,4865,341,
Hendricks,19366,7412,1048,
Henry,12724,7626,562,
Howard,21272,12916,1325,
Huntington,9497,5415,824,
Jackson,8903,6425,430,
Jasper,6316,2544,283,
Jay,5351,3256,484,
Jefferson,6831,5496,477,
Jennings,5498,3931,281,
Johnson,20018,8445,1348,
Knox,10083,7829,617,
Kosciusko,15633,5684,1164,
LaGrange,4259,2095,377,
Lake,95408,101145,8275,
LaPorte,22424,15387,2080,
Lawrence,10846,5826,380,
Madison,35582,23554,2389,
Marion,168680,126103,15709,
Marshall,10209,5113,836,
Martin,3082,2479,149,
Miami,8672,4927,508,
Monroe,18233,13316,3921,
Montgomery,9936,4158,622,
Morgan,13321,5439,498,
Newton,3850,1649,194,
Noble,7624,4721,749,
Ohio,1264,1074,57,
Orange,5073,3228,181,
Owen,3632,2325,188,
Parke,4595,2432,194,
Perry,4350,4540,448,
Pike,3343,3346,190,
Porter,30055,12869,3061,
Posey,6096,4465,667,
Pulaski,3916,2092,175,
Putnam,7090,3996,501,
Randolph,7762,4025,426,
Ripley,5770,4022,303,
Rush,4829,2388,224,
St. Joseph,50607,44218,6962,
Scott,3432,3694,139,
Shelby,10496,5861,614,
Spencer,5284,4153,196,
Starke,5035,3615,297,
Steuben,5670,2606,602,
Sullivan,4465,4335,212,
Switzerland,1584,1704,38,
Tippecanoe,27589,14636,5141,
Tipton,5150,2547,285,
Union,1766,898,92,
Vanderburgh,36248,29930,4150,
Vermillion,4195,3793,269,
Vigo,24133,19261,2484,
Wabash,8738,4620,797,
Warren,2665,1287,145,
Warrick,8681,6845,890,
Washington,5234,3663,191,
Wayne,16981,9599,1174,
Wells,5864,3760,717,
White,6999,3247,466,
Whitley,7146,4497,928,
