1992 US Presidential Election,Bush,Clinton,Perot,
Adams,6078,3708,2865,
Allen,55003,39629,25809,
Bartholomew,13146,8284,5882,
Benton,2030,1221,1056,
Blackford,2347,2088,1319,
Boone,9485,3982,3826,
Brown,2633,2029,1635,
Carroll,3800,2561,2173,
Cass,7421,4757,3944,
Clark,13333,17460,5653,
Clay,4696,3306,2134,
Clinton,6141,3490,2535,
Crawford,1903,2260,819,
Daviess,5591,3201,1695,
Dearborn,6974,5116,3384,
Decatur,5195,2774,2299,
DeKalb,6682,4652,3554,
Delaware,20473,19556,10453,
Dubois,6785,5878,3195,
Elkhart,27920,14660,9450,
Fayette,4376,3969,2299,
Floyd,11932,13166,4421,
Fountain,3391,2829,2162,
Franklin,3831,2456,1858,
Fulton,3982,2552,1963,
Gibson,5172,6909,2680,
Grant,13806,9211,5597,
Greene,5410,5431,2610,
Hamilton,34622,10215,10365,
Hancock,11072,4752,4752,
Harrison,5403,5768,2469,
Hendricks,18373,7071,7519,
Henry,8720,6794,4416,
Howard,15306,10288,8575,
Huntington,9093,3855,2967,
Jackson,7246,5663,3148,
Jasper,4809,3033,2019,
Jay,3609,3208,1994,
Jefferson,4937,5510,2565,
Jennings,4392,3471,2370,
Johnson,20353,8712,8246,
Knox,6683,6718,3719,
Kosciusko,14179,5307,5115,
LaGrange,3584,2093,1736,
Lake,53867,102778,28635,
LaPorte,14962,17717,9641,
Lawrence,7712,5557,3452,
Madison,23479,22276,13100,
Marion,141369,122234,57878,
Marshall,8048,4912,3522,
Martin,2523,2018,883,
Miami,6416,3967,3428,
Monroe,16661,19712,6943,
Montgomery,7602,3371,3511,
Morgan,10939,4690,5375,
Newton,2295,1757,1274,
Noble,5883,4411,3328,
Ohio,1009,970,527,
Orange,3738,2948,1296,
Owen,2753,2207,1563,
Parke,2953,2429,1696,
Perry,2973,4829,1560,
Pike,2156,2960,1238,
Porter,22644,21022,13096,
Posey,4435,4632,2357,
Pulaski,2712,1950,1214,
Putnam,5341,3487,3174,
Randolph,4937,3870,2939,
Ripley,5033,3480,2406,
Rush,3873,2168,1948,
St. Joseph,38934,46203,18828,
Scott,2649,4085,1092,
Shelby,8075,4560,3521,
Spencer,3789,4301,1464,
Starke,3100,3695,1885,
Steuben,4868,3630,2896,
Sullivan,3052,4211,1857,
Switzerland,1211,1535,636,
Tippecanoe,23050,17343,9684,
Tipton,3906,2125,1816,
Union,1394,898,664,
Vanderburgh,30271,33799,12513,
Vermillion,2360,3652,1794,
Vigo,15834,18050,8141,
Wabash,7062,4518,3424,
Warren,1601,1367,1020,
Warrick,8087,8612,3862,
Washington,4043,4092,1846,
Wayne,12221,9960,5095,
Wells,5799,3282,2890,
White,4622,2988,2582,
Whitley,5217,3569,3195,
