2004 US Presidential Election,Bush,Kerry,Other,
Adams,9734,3512,94,
Allen,82013,46710,886,
Bartholomew,19093,9191,231,
Benton,2797,1135,60,
Blackford,3447,1903,30,
Boone,17055,5636,207,
Brown,4512,2730,88,
Carroll,5868,2689,81,
Cass,9480,4315,136,
Clark,24495,17648,194,
Clay,7361,3333,89,
Clinton,8471,3335,71,
Crawford,2609,1932,33,
Daviess,7936,2573,90,
Dearborn,14231,6596,142,
Decatur,7499,2621,79,
DeKalb,10468,4810,125,
Delaware,27064,20436,439,
Dubois,11726,5210,130,
Elkhart,42967,17966,447,
Fayette,5761,3626,81,
Floyd,19877,13857,156,
Fountain,5260,2477,67,
Franklin,6977,2925,90,
Fulton,6027,2607,69,
Gibson,9133,5378,103,
Grant,18769,8509,182,
Greene,8609,4606,137,
Hamilton,77887,26388,631,
Hancock,20771,6912,184,
Harrison,11015,6171,124,
Hendricks,38430,13548,324,
Henry,13137,7176,191,
Howard,23714,12998,309,
Huntington,11617,3877,133,
Jackson,11083,5092,134,
Jasper,8056,3678,110,
Jay,5427,2740,65,
Jefferson,7763,5117,91,
Jennings,6864,3538,115,
Johnson,37765,13109,381,
Knox,9990,5649,107,
Kosciusko,22136,5977,247,
LaGrange,6430,2523,50,
Lake,71903,114743,1376,
LaPorte,20916,21114,576,
Lawrence,12207,5346,145,
Madison,32526,21882,447,
Marion,156072,162249,2517,
Marshall,12074,5593,147,
Martin,3414,1522,60,
Miami,9600,3886,142,
Monroe,22834,26965,668,
Montgomery,10901,3536,111,
Morgan,19197,6650,182,
Newton,3757,2032,59,
Noble,10859,4703,117,
Ohio,1796,1139,23,
Orange,5683,2885,84,
Owen,5000,2536,68,
Parke,4550,2362,59,
Perry,4137,4131,47,
Pike,3745,2418,49,
Porter,34794,29388,691,
Posey,7833,4085,68,
Pulaski,3797,1750,67,
Putnam,8908,4103,125,
Randolph,7172,3812,108,
Ripley,8224,3510,100,
Rush,5363,2000,58,
St. Joseph,55254,52637,728,
Scott,4793,3822,62,
Shelby,11397,4519,111,
Spencer,5934,3920,70,
Starke,4846,3987,104,
Steuben,8433,4345,127,
Sullivan,4999,3341,54,
Switzerland,2161,1479,31,
Tippecanoe,30897,20818,645,
Tipton,5628,2203,61,
Union,2266,1045,33,
Vanderburgh,41463,28767,424,
Vermillion,3536,3424,57,
Vigo,20988,18426,330,
Wabash,9607,3920,75,
Warren,2565,1356,39,
Warrick,16930,8980,115,
Washington,6915,3879,86,
Wayne,16586,10775,296,
Wells,9168,3112,74,
White,6974,3277,115,
Whitley,9512,3880,89,
