2008 US Presidential Election,McCain,Obama,Other,
Adams,8404,4928,207,
Allen,77793,71263,1491,
Bartholomew,17067,13567,455,
Benton,2183,1563,71,
Blackford,2690,2677,83,
Boone,16622,9752,318,
Brown,4060,3854,141,
Carroll,4858,3736,142,
Cass,8346,7011,296,
Clark,25326,21953,605,
Clay,6267,4954,174,
Clinton,6919,5307,175,
Crawford,2393,2286,65,
Daviess,7098,3370,118,
Dearborn,14886,7123,208,
Decatur,6449,3892,162,
DeKalb,9780,7175,219,
Delaware,20916,28384,676,
Dubois,9526,8748,319,
Elkhart,39396,31398,840,
Fayette,4917,4389,173,
Floyd,19957,16263,447,
Fountain,4158,3094,174,
Franklin,7018,3404,220,
Fulton,5147,3702,157,
Gibson,8449,6455,260,
Grant,14734,11293,317,
Greene,7691,5709,250,
Hamilton,78401,49704,1174,
Hancock,22008,11874,371,
Harrison,10551,7288,335,
Hendricks,39728,24548,778,
Henry,10896,10059,364,
Howard,20248,17871,714,
Huntington,10291,5843,223,
Jackson,9726,7354,360,
Jasper,7669,5044,200,
Jay,4401,3748,174,
Jefferson,7053,6255,202,
Jennings,6261,5312,266,
Johnson,36487,21553,746,
Knox,8639,7569,216,
Kosciusko,20488,9236,461,
LaGrange,5702,3663,170,
Lake,67742,139301,1996,
LaPorte,17918,28258,842,
Lawrence,11018,7208,308,
Madison,26403,30152,889,
Marion,134313,241987,3790,
Marshall,10406,7889,276,
Martin,3122,1706,75,
Miami,8312,5564,280,
Monroe,21118,41450,819,
Montgomery,9060,6013,212,
Morgan,18129,10330,352,
Newton,3301,2625,128,
Noble,9673,7064,270,
Ohio,1713,1158,47,
Orange,4536,3390,182,
Owen,4415,3570,185,
Parke,3909,2924,157,
Perry,3202,5141,147,
Pike,3221,2700,107,
Porter,33857,39178,1211,
Posey,6804,5828,139,
Pulaski,3388,2466,110,
Putnam,8086,6334,255,
Randolph,5788,4839,195,
Ripley,7794,4187,253,
Rush,4271,3229,129,
St. Joseph,48510,68710,1519,
Scott,4445,4271,219,
Shelby,10333,6987,282,
Spencer,5001,5039,156,
Starke,4473,4778,228,
Steuben,7674,6284,230,
Sullivan,4343,4284,155,
Switzerland,1940,1638,62,
Tippecanoe,29822,37781,1033,
Tipton,4452,3250,136,
Union,2061,1224,70,
Vanderburgh,37512,39423,978,
Vermillion,3010,4003,122,
Vigo,18121,25040,723,
Wabash,8238,5456,198,
Warren,2166,1755,77,
Warrick,16013,12329,379,
Washington,6519,4562,271,
Wayne,14558,13459,624,
Wells,8504,4403,181,
White,5731,4839,235,
Whitley,9124,5862,222,
