1992 US Presidential Election,Bush,Clinton,Perot,
Allen,2351,2312,1746,
Anderson,1218,1178,1282,
Atchison,2521,2959,2020,
Barber,1225,759,893,
Barton,5113,3846,4574,
Bourbon,2876,2509,1763,
Brown,2203,1476,1603,
Butler,9166,7029,7355,
Chase,610,470,600,
Chautauqua,853,598,607,
Cherokee,3589,4083,2067,
Cheyenne,863,407,477,
Clark,676,293,341,
Clay,2198,947,1434,
Cloud,2131,1720,1578,
Coffey,1824,1021,1443,
Comanche,636,325,324,
Cowley,5422,5405,4911,
Crawford,5468,7366,3706,
Decatur,940,576,565,
Dickinson,3851,2518,2833,
Doniphan,1579,1177,1200,
Douglas,12949,19439,9630,
Edwards,769,567,584,
Elk,748,485,503,
Ellis,3985,4544,3887,
Ellsworth,1197,1010,1020,
Finney,5278,2612,3011,
Ford,4342,2635,3341,
Franklin,3699,2968,3184,
Geary,2928,2559,2057,
Gove,792,379,532,
Graham,752,554,603,
Grant,1561,619,835,
Gray,1039,443,686,
Greeley,504,191,175,
Greenwood,1411,1262,1167,
Hamilton,716,386,271,
Harper,1371,845,1151,
Harvey,6259,5047,3653,
Haskell,1023,336,462,
Hodgeman,625,258,343,
Jackson,1970,1639,1927,
Jefferson,2569,2538,2642,
Jewell,1050,546,698,
Johnson,85418,59573,49136,
Kearny,943,384,376,
Kingman,1680,1100,1370,
Kiowa,1057,355,475,
Labette,3368,4196,2577,
Lane,674,265,356,
Leavenworth,7738,8077,7306,
Lincoln,893,612,657,
Linn,1413,1353,1358,
Logan,905,355,446,
Lyon,5090,4811,4717,
McPherson,5745,3645,3561,
Marion,3142,1627,1557,
Marshall,2030,2022,1786,
Meade,1135,430,592,
Miami,3528,3835,3701,
Mitchell,1601,938,1098,
Montgomery,6848,5453,3570,
Morris,1071,957,1071,
Morton,915,398,350,
Nemaha,2220,1580,1804,
Neosho,2926,2799,2136,
Ness,967,565,678,
Norton,1469,779,815,
Osage,2561,2297,2532,
Osborne,1003,779,819,
Ottawa,1284,764,762,
Pawnee,1357,1118,1097,
Phillips,1579,843,955,
Pottawatomie,3106,2099,2759,
Pratt,1779,1466,1528,
Rawlins,1023,393,517,
Reno,11377,9257,7636,
Republic,1767,939,1084,
Rice,2158,1555,1543,
Riley,8394,7933,5387,
Rooks,1249,771,1063,
Rush,756,689,665,
Russell,1434,1178,1395,
Saline,8565,7890,7108,
Scott,1426,480,621,
Sedgwick,75577,62670,47238,
Seward,3477,1488,1818,
Shawnee,29344,31972,20653,
Sheridan,739,347,546,
Sherman,1630,810,828,
Smith,1236,789,816,
Stafford,1064,777,910,
Stanton,556,224,214,
Stevens,1408,390,674,
Sumner,4087,3564,3887,
Thomas,1849,932,1129,
Trego,727,608,574,
Wabaunsee,1254,851,1258,
Wallace,679,164,219,
Washington,1740,893,1054,
Wichita,681,241,303,
Wilson,1925,1331,1365,
Woodson,662,590,604,
Wyandotte,12872,34397,13620,
