1968 US Presidential Election,Nixon,Humphrey,Wallace,
Adair,3239,1362,844,
Allen,2952,927,905,
Anderson,1594,1334,657,
Ballard,564,1632,1197,
Barren,4209,3464,2140,
Bath,1277,1394,658,
Bell,4905,4138,1204,
Boone,4081,2725,2240,
Bourbon,1848,2566,1023,
Boyd,8632,7914,2443,
Boyle,2715,2663,1356,
Bracken,1115,1067,548,
Breathitt,1361,2954,361,
Breckinridge,2779,2024,1067,
Bullitt,1965,2135,2180,
Butler,2637,691,634,
Caldwell,2139,1439,1426,
Calloway,2672,3854,2150,
Campbell,13681,9747,4750,
Carlisle,479,1144,807,
Carroll,868,1765,514,
Carter,3234,2344,926,
Casey,3698,879,649,
Christian,3788,4281,4527,
Clark,2698,2385,1722,
Clay,4663,1213,327,
Clinton,2572,568,280,
Crittenden,1942,838,748,
Cumberland,2116,646,355,
Daviess,10111,9947,5015,
Edmonson,2280,679,516,
Elliott,515,1387,280,
Estill,2236,1261,675,
Fayette,24948,16902,8354,
Fleming,2220,1406,535,
Floyd,3550,8333,1150,
Franklin,4057,6396,2655,
Fulton,1079,1204,1526,
Gallatin,413,685,304,
Garrard,2205,1000,675,
Grant,1386,1169,941,
Graves,3239,5103,3829,
Grayson,3598,1595,657,
Green,2448,1003,712,
Greenup,4698,4689,1365,
Hancock,1049,867,419,
Hardin,5329,4470,2845,
Harlan,4572,6389,2099,
Harrison,1637,2373,839,
Hart,2817,1658,1002,
Henderson,3512,5062,2132,
Henry,1271,1978,711,
Hickman,623,880,1154,
Hopkins,3791,4391,3668,
Jackson,3098,304,279,
Jefferson,95942,90242,35561,
Jessamine,2338,1334,1440,
Johnson,4046,2142,344,
Kenton,17263,14656,7612,
Knott,1098,3335,428,
Knox,4388,2244,944,
Larue,1862,1251,776,
Laurel,6251,1756,1236,
Lawrence,1946,1825,476,
Lee,1339,674,285,
Leslie,2615,828,236,
Letcher,3243,3499,920,
Lewis,2760,1017,472,
Lincoln,2591,1736,1129,
Livingston,1079,1272,953,
Logan,3402,3339,1881,
Lyon,579,719,619,
McCracken,5887,9741,5810,
McCreary,2670,759,479,
McLean,1372,1373,1084,
Madison,5325,3884,2558,
Magoffin,1967,1927,229,
Marion,1620,2436,849,
Marshall,2432,3301,2183,
Martin,1943,759,136,
Mason,2661,2772,1131,
Meade,1385,1926,886,
Menifee,509,554,247,
Mercer,2432,1950,1227,
Metcalfe,1566,1001,469,
Monroe,4086,693,590,
Montgomery,2113,1408,980,
Morgan,1341,2222,398,
Muhlenberg,3853,3688,2198,
Nelson,2373,3420,1104,
Nicholas,725,911,413,
Ohio,3504,1695,1263,
Oldham,1655,1399,937,
Owen,827,1608,697,
Owsley,1417,303,157,
Pendleton,1614,1156,760,
Perry,3993,4562,983,
Pike,8911,11663,1933,
Powell,1157,934,625,
Pulaski,8290,2823,1780,
Robertson,416,406,186,
Rockcastle,3072,868,644,
Rowan,2017,1898,541,
Russell,3035,961,718,
Scott,1748,1961,1242,
Shelby,2287,2579,1185,
Simpson,1435,1505,1390,
Spencer,733,564,448,
Taylor,3032,1367,1554,
Todd,1433,1082,1932,
Trigg,1100,1330,1180,
Trimble,511,1045,406,
Union,1371,2616,1804,
Warren,8084,5200,4365,
Washington,1863,1675,472,
Wayne,3055,1467,475,
Webster,1446,2114,1337,
Whitley,5639,2134,1650,
Wolfe,758,1162,282,
Woodford,1901,1646,894,
