1996 US Presidential Election,Dole,Clinton,Perot,
Adair,3876,1821,790,
Allen,3032,1781,393,
Anderson,2972,2898,751,
Ballard,1064,2255,411,
Barren,5700,5044,1065,
Bath,1229,1886,428,
Bell,3917,5058,940,
Boone,15085,8379,1900,
Bourbon,2592,3030,603,
Boyd,7054,9668,2070,
Boyle,4157,3877,709,
Bracken,1371,1055,271,
Breathitt,1058,3106,397,
Breckinridge,3151,2956,670,
Bullitt,8697,7651,1973,
Butler,2531,1260,348,
Caldwell,2067,2434,637,
Calloway,4989,5281,1223,
Campbell,16640,11957,2312,
Carlisle,816,1355,245,
Carroll,1170,1689,351,
Carter,3240,3728,781,
Casey,3187,1106,525,
Christian,8285,6843,1064,
Clark,4739,4987,1095,
Clay,3716,2135,478,
Clinton,2521,1072,350,
Crittenden,1509,1480,400,
Cumberland,1654,753,227,
Daviess,15844,15366,3344,
Edmonson,2619,1595,298,
Elliott,421,1298,284,
Estill,2220,1724,479,
Fayette,42930,43632,5345,
Fleming,2313,1913,522,
Floyd,3139,9655,1518,
Franklin,7132,11251,1873,
Fulton,863,1614,223,
Gallatin,838,1189,299,
Garrard,2540,1486,337,
Grant,2697,2541,661,
Graves,5130,6991,1596,
Grayson,4249,2716,677,
Green,2763,1285,475,
Greenup,5370,6883,1627,
Hancock,1356,1547,418,
Hardin,12642,11031,2815,
Harlan,3337,5874,884,
Harrison,2433,2934,801,
Hart,2701,2527,501,
Henderson,5092,8051,1556,
Henry,2110,2324,564,
Hickman,695,1220,247,
Hopkins,6363,7239,1512,
Jackson,3045,960,299,
Jefferson,114860,144207,19413,
Jessamine,6686,4428,1040,
Johnson,3262,3348,1010,
Kenton,28579,19407,3680,
Knott,1201,4842,517,
Knox,4502,3736,811,
Larue,2140,2040,469,
Laurel,9454,4306,1211,
Lawrence,1812,2195,481,
Lee,1302,1023,181,
Leslie,2296,1466,304,
Letcher,2222,4160,782,
Lewis,2365,1415,561,
Lincoln,3006,2550,526,
Livingston,1258,2228,449,
Logan,3888,4181,704,
Lyon,999,1641,284,
McCracken,10221,12670,2268,
McCreary,2527,1710,488,
McLean,1368,1834,385,
Madison,9212,8142,1613,
Magoffin,1434,2249,337,
Marion,2013,2922,757,
Marshall,4579,6054,1391,
Martin,1612,1807,401,
Mason,2588,2444,484,
Meade,2855,3653,912,
Menifee,608,979,179,
Mercer,3264,3179,738,
Metcalfe,1651,1349,355,
Monroe,3300,1114,415,
Montgomery,2681,3372,705,
Morgan,1439,1843,380,
Muhlenberg,3569,6564,1218,
Nelson,4645,5392,1067,
Nicholas,950,1092,265,
Ohio,3475,3487,1076,
Oldham,10477,6202,1521,
Owen,1709,1603,454,
Owsley,920,647,153,
Pendleton,2177,1926,462,
Perry,3382,6015,894,
Pike,7160,14126,2148,
Powell,1526,2156,523,
Pulaski,11945,5340,1420,
Robertson,368,360,117,
Rockcastle,3106,1160,338,
Rowan,2309,3215,724,
Russell,4017,1582,837,
Scott,4349,4258,977,
Shelby,5307,4629,780,
Simpson,2186,2749,401,
Spencer,1614,1404,341,
Taylor,4573,2897,829,
Todd,1912,1744,424,
Trigg,1975,2087,394,
Trimble,999,1245,308,
Union,1554,2913,598,
Warren,15784,11642,1835,
Washington,2116,1639,383,
Wayne,3122,2422,481,
Webster,1568,2852,660,
Whitley,5402,4174,1027,
Wolfe,772,1297,202,
Woodford,4270,3910,746,
