2008 US Presidential Election,McCain,Obama,Other,
Adair,5512,1668,118,
Allen,5258,2024,108,
Anderson,6885,3462,205,
Ballard,2537,1427,96,
Barren,11133,5434,240,
Bath,2234,2210,99,
Bell,6681,2782,135,
Boone,33812,16292,670,
Bourbon,4820,3385,125,
Boyd,11430,8886,354,
Boyle,7701,4769,165,
Bracken,2066,1241,92,
Breathitt,2671,2205,154,
Breckinridge,5281,3110,131,
Bullitt,20102,10177,447,
Butler,3696,1555,56,
Caldwell,3866,2212,121,
Calloway,8991,6165,248,
Campbell,24046,15622,629,
Carlisle,1699,879,39,
Carroll,2032,1716,87,
Carter,5252,4316,245,
Casey,4679,1219,59,
Christian,13699,8880,199,
Clark,9664,5749,215,
Clay,5710,1552,102,
Clinton,3366,761,45,
Crittenden,2604,1254,72,
Cumberland,2056,697,44,
Daviess,23692,19282,648,
Edmonson,3562,1652,56,
Elliott,902,1535,78,
Estill,3685,1555,74,
Fayette,59884,66042,1722,
Fleming,3432,2279,121,
Floyd,7741,7530,388,
Franklin,11911,11767,401,
Fulton,1530,1238,57,
Gallatin,1840,1278,75,
Garrard,5118,2012,80,
Grant,5510,3112,132,
Graves,10056,5843,256,
Grayson,6605,3154,144,
Green,3785,1204,90,
Greenup,8849,6621,328,
Hancock,1928,2135,81,
Hardin,23896,15650,444,
Harlan,7165,2586,163,
Harrison,4520,2916,154,
Hart,4397,2290,131,
Henderson,9523,10049,289,
Henry,4081,2725,113,
Hickman,1406,812,32,
Hopkins,11916,7104,328,
Jackson,4407,743,74,
Jefferson,153957,196435,4544,
Jessamine,13711,6236,267,
Johnson,5948,2407,162,
Kenton,40714,26480,1019,
Knott,3070,2612,138,
Knox,8150,3074,165,
Larue,4153,1913,112,
Laurel,17660,4618,222,
Lawrence,3503,2036,110,
Lee,1978,752,43,
Leslie,3574,766,57,
Letcher,5367,2623,245,
Lewis,3213,1510,68,
Lincoln,6273,2752,126,
Livingston,2890,1622,81,
Logan,6925,3811,154,
Lyon,2220,1577,58,
McCracken,19043,11285,426,
McCreary,4078,1258,71,
McLean,2386,1963,73,
Madison,19694,12392,451,
Magoffin,2434,2105,112,
Marion,3842,3596,177,
Marshall,9512,5683,292,
Martin,2824,808,60,
Mason,4102,2891,128,
Meade,6691,4343,172,
Menifee,1155,1276,58,
Mercer,6781,3159,120,
Metcalfe,2734,1350,115,
Monroe,3537,1067,61,
Montgomery,5947,4234,150,
Morgan,2396,1879,104,
Muhlenberg,6447,6221,221,
Nelson,10139,7654,353,
Nicholas,1634,1272,64,
Ohio,5687,4059,192,
Oldham,18997,10000,319,
Owen,2969,1694,88,
Owsley,1279,381,26,
Pendleton,3676,2027,99,
Perry,6762,3444,169,
Pike,12655,9525,463,
Powell,2837,2065,70,
Pulaski,19862,5590,314,
Robertson,533,451,31,
Rockcastle,4757,1410,107,
Rowan,3907,4074,173,
Russell,5779,1569,127,
Scott,11782,7712,236,
Shelby,11451,6871,218,
Simpson,4437,2775,97,
Spencer,5378,2519,152,
Taylor,7568,3165,127,
Todd,3336,1543,62,
Trigg,4189,2246,92,
Trimble,2239,1484,89,
Union,3120,2804,110,
Warren,25993,17669,483,
Washington,3305,1890,80,
Wayne,4868,2201,127,
Webster,3037,2390,113,
Whitley,10015,3484,205,
Wolfe,1408,1493,67,
Woodford,7130,5027,140,
