1976 US Presidential Election,Ford,Carter,Other,
Acadia,6296,10814,538,
Allen,2080,5373,220,
Ascension,4435,9100,443,
Assumption,3117,4401,193,
Avoyelles,4574,8104,637,
Beauregard,3196,5322,268,
Bienville,2499,3402,110,
Bossier,12132,8062,293,
Caddo,42627,30593,1120,
Calcasieu,17485,33980,1130,
Caldwell,1890,1830,86,
Cameron,819,2432,87,
Catahoula,2086,2547,134,
Claiborne,3216,2891,100,
Concordia,3849,3892,171,
De Soto,3601,4630,117,
East Baton Rouge,51655,49956,2196,
East Carroll,1681,2367,110,
East Feliciana,1668,3485,170,
Evangeline,3715,7578,265,
Franklin,3947,3824,220,
Grant,2280,3670,186,
Iberia,10392,9984,377,
Iberville,3822,7254,313,
Jackson,3310,3605,145,
Jefferson,71787,53257,2516,
Jefferson Davis,3603,6376,299,
Lafayette,22805,19918,976,
Lafourche,11434,14131,701,
La Salle,3161,2961,188,
Lincoln,6828,4971,170,
Livingston,5555,9875,465,
Madison,2096,4933,99,
Morehouse,5418,4017,257,
Natchitoches,5248,6692,477,
Orleans,70925,93130,4249,
Ouachita,24082,15738,631,
Plaquemines,6052,2614,189,
Pointe Coupee,2567,5147,162,
Rapides,17766,20851,647,
Red River,1728,1906,73,
Richland,3630,3495,145,
Sabine,3531,4555,265,
St. Bernard,12707,12969,832,
St. Charles,4270,6872,363,
St. Helena,1046,2622,120,
St. James,2751,4531,184,
St. John the Baptist,3597,5700,312,
St. Landry,9956,15613,674,
St. Martin,4112,7992,329,
St. Mary,8919,9401,388,
St. Tammany,15822,14691,886,
Tangipahoa,9242,14432,637,
Tensas,1553,2081,43,
Terrebonne,12895,10627,760,
Union,4139,3600,166,
Vermilion,6133,11246,471,
Vernon,3970,6202,293,
Washington,5677,10000,396,
Webster,7550,7286,181,
West Baton Rouge,1913,3809,162,
West Carroll,2407,2595,110,
West Feliciana,990,1890,46,
Winn,3209,3543,137,
