1980 US Presidential Election,Reagan,Carter,Anderson,
Acadia,11533,9948,416,
Allen,3328,6057,110,
Ascension,7238,12381,286,
Assumption,4001,4679,153,
Avoyelles,8216,7174,190,
Beauregard,5250,5556,163,
Bienville,3508,4123,51,
Bossier,16515,9377,327,
Caddo,51202,36422,1128,
Calcasieu,27600,35446,1259,
Caldwell,2653,1786,43,
Cameron,1449,2221,82,
Catahoula,2942,2414,38,
Claiborne,3538,3443,53,
Concordia,4933,3956,52,
De Soto,4349,5861,49,
East Baton Rouge,71063,57442,3312,
East Carroll,1867,2283,24,
East Feliciana,2650,4033,53,
Evangeline,7412,6722,160,
Franklin,5301,4177,65,
Grant,3611,3290,77,
Iberia,14273,9681,410,
Iberville,4463,9361,172,
Jackson,3923,3609,56,
Jefferson,99403,50870,3578,
Jefferson Davis,5667,6140,201,
Lafayette,31429,19694,1263,
Lafourche,14951,14222,675,
La Salle,3792,2665,61,
Lincoln,7515,5598,177,
Livingston,10666,11319,287,
Madison,2531,3264,16,
Morehouse,7254,4856,65,
Natchitoches,6668,7102,158,
Orleans,74302,106858,4246,
Ouachita,29799,16306,495,
Plaquemines,5489,4318,154,
Pointe Coupee,3667,6395,105,
Rapides,25576,19436,530,
Red River,2147,2776,29,
Richland,4772,3745,48,
Sabine,4265,5100,74,
St. Bernard,19410,11367,616,
St. Charles,6779,7898,283,
St. Helena,1531,3183,42,
St. James,3429,6206,113,
St. John the Baptist,5819,7647,261,
St. Landry,14940,17125,332,
St. Martin,6701,7760,281,
St. Mary,10378,10506,339,
St. Tammany,27214,14161,872,
Tangipahoa,15187,15272,491,
Tensas,1645,2046,25,
Terrebonne,16644,10804,559,
Union,5130,3841,60,
Vermilion,10481,9743,473,
Vernon,5869,7198,167,
Washington,8681,10413,170,
Webster,8865,8568,118,
West Baton Rouge,2828,4739,117,
West Carroll,3430,2118,38,
West Feliciana,1237,2341,40,
Winn,3944,3411,57,
