1984 US Presidential Election,Reagan,Mondale,Other,
Acadia,14906,9262,434,
Allen,4474,4842,66,
Ascension,11945,11048,177,
Assumption,5433,4660,270,
Avoyelles,9402,6808,463,
Beauregard,7353,4199,96,
Bienville,4587,3530,109,
Bossier,22638,7006,138,
Caddo,63429,35727,445,
Calcasieu,35566,33214,430,
Caldwell,3341,1348,130,
Cameron,2265,1608,33,
Catahoula,3640,1649,102,
Claiborne,4349,2788,77,
Concordia,6177,3332,183,
De Soto,5989,4642,108,
East Baton Rouge,95704,56673,891,
East Carroll,1974,2089,69,
East Feliciana,4166,4122,113,
Evangeline,8680,6981,183,
Franklin,6708,2937,249,
Grant,5334,2588,175,
Iberia,17727,10170,629,
Iberville,6455,8587,117,
Jackson,5034,2568,159,
Jefferson,123997,41183,843,
Jefferson Davis,8296,5962,206,
Lafayette,44344,19265,849,
Lafourche,20930,10186,889,
La Salle,5404,1318,153,
Lincoln,9087,5432,182,
Livingston,17465,8913,198,
Madison,2849,2906,109,
Morehouse,8585,4829,271,
Natchitoches,8836,5806,336,
Orleans,86316,119478,1162,
Ouachita,37270,15525,779,
Plaquemines,7655,3261,61,
Pointe Coupee,5477,6732,78,
Rapides,32879,16121,963,
Red River,3060,1958,49,
Richland,5980,2918,185,
Sabine,6295,2980,225,
St. Bernard,24428,8076,153,
St. Charles,10185,6784,113,
St. Helena,2366,2956,113,
St. James,4627,5989,119,
St. John the Baptist,9093,7646,112,
St. Landry,19055,17950,218,
St. Martin,9698,8589,304,
St. Mary,15275,9411,288,
St. Tammany,38664,11719,392,
Tangipahoa,19580,12799,200,
Tensas,1956,1628,71,
Terrebonne,23696,9640,753,
Union,6585,2916,222,
Vermilion,12721,9033,624,
Vernon,9035,4076,258,
Washington,11185,7680,123,
Webster,12055,6509,113,
West Baton Rouge,4189,4631,63,
West Carroll,3874,1474,121,
West Feliciana,2097,2296,33,
Winn,4934,2633,160,
