1992 US Presidential Election,Bush,Clinton,Perot,
Allegany,13862,11501,5081,
Anne Arundel,81467,68629,35191,
Baltimore,126728,143498,51757,
Calvert,10026,8619,4499,
Caroline,3856,2822,1729,
Carroll,28405,15447,10965,
Cecil,10784,10232,6115,
Charles,17293,14498,6501,
Dorchester,4934,3933,2010,
Frederick,31290,21848,11373,
Garrett,5714,2856,1987,
Harford,36350,27164,17002,
Howard,38594,44763,16182,
Kent,3094,3093,1411,
Montgomery,119705,199757,41971,
Prince George's,62955,168691,23355,
Queen Anne's,6829,4668,2958,
St. Mary's,11485,8931,4550,
Somerset,3450,3210,1230,
Talbot,6774,4642,2233,
Washington,21977,16495,7537,
Wicomico,13560,11481,5140,
Worcester,7237,6040,3256,
Baltimore,40725,185753,17381,
