1992 US Presidential Election,Bush,Clinton,Perot,
Alcona,2247,2383,1117,
Alger,1471,2144,941,
Allegan,19077,12823,8742,
Alpena,4878,6894,3236,
Antrim,3984,3431,2528,
Arenac,2330,3244,1608,
Baraga,1160,1695,754,
Barry,9489,8652,6303,
Bay,16383,26492,11258,
Benzie,2438,2715,1657,
Berrien,29252,25840,14056,
Branch,5976,5850,4683,
Calhoun,19791,25542,13058,
Cass,7391,8047,4756,
Charlevoix,4017,4063,3360,
Cheboygan,3864,4459,2495,
Chippewa,5462,5434,2706,
Clare,3916,5346,2812,
Clinton,12216,10116,7877,
Crawford,2193,2252,1442,
Delta,6027,8387,3485,
Dickinson,4273,5689,3022,
Eaton,18669,16752,12208,
Emmet,5312,4245,3576,
Genesee,47834,105156,46259,
Gladwin,3616,4457,2649,
Gogebic,2838,4792,1543,
Grand Traverse,13629,11148,9495,
Gratiot,6280,5678,3866,
Hillsdale,7579,5244,4968,
Houghton,5575,6558,2945,
Huron,6491,6023,4064,
Ingham,43926,61596,27683,
Ionia,9135,8370,6211,
Iosco,4912,5369,3131,
Iron,1971,3648,1344,
Isabella,7706,8784,5434,
Jackson,25424,23686,15194,
Kalamazoo,38035,43568,21666,
Kalkaska,2173,2297,1915,
Kent,115285,82305,43707,
Keweenaw,378,582,212,
Lake,1194,2351,981,
Lapeer,12326,11982,10541,
Leelanau,3993,3445,2685,
Lenawee,14297,15399,9517,
Livingston,27539,17851,15971,
Luce,958,972,660,
Mackinac,2278,2293,1379,
Macomb,147795,130732,67954,
Manistee,3491,5193,2923,
Marquette,9665,16038,5768,
Mason,5102,4829,3096,
Mecosta,6047,6097,3612,
Menominee,3995,4559,2487,
Midland,16149,13382,8945,
Missaukee,2829,1893,1306,
Monroe,20250,24957,13551,
Montcalm,8420,8730,5504,
Montmorency,1794,1903,1077,
Muskegon,23769,32515,15268,
Newaygo,7333,6455,4056,
Oakland,242160,214733,94911,
Oceana,3944,3846,2713,
Ogemaw,2936,4016,2122,
Ontonagon,1463,2451,805,
Osceola,3606,3529,2199,
Oscoda,1583,1471,755,
Otsego,3393,3129,2635,
Ottawa,56862,22180,16855,
Presque Isle,2398,3308,1612,
Roscommon,4170,5243,2551,
Saginaw,32103,43819,20523,
St. Clair,24508,23385,18523,
St. Joseph,9836,7817,6209,
Sanilac,7891,5868,4894,
Schoolcraft,1253,2139,721,
Shiawassee,10930,12629,8632,
Tuscola,8636,9138,6765,
Van Buren,10357,12466,7255,
Washtenaw,41386,73325,21889,
Wayne,227002,508464,102074,
Wexford,4696,4894,2923,
