2000 US Presidential Election,Bush,Gore,Nader,
Aitkin,3755,3830,403,
Anoka,69256,68008,6616,
Becker,8152,5253,591,
Beltrami,8346,7301,1269,
Benton,7663,6009,862,
Big Stone,1370,1430,109,
Blue Earth,12942,12329,1761,
Brown,7370,4650,561,
Carlton,5578,8620,634,
Carver,20790,12462,1381,
Cass,7134,5534,663,
Chippewa,2977,2952,268,
Chisago,10937,9593,1116,
Clay,11712,10128,963,
Clearwater,2137,1466,134,
Cook,1295,1171,290,
Cottonwood,3369,2503,208,
Crow Wing,15035,11255,1314,
Dakota,87250,85446,7799,
Dodge,4213,3370,327,
Douglas,9811,6352,746,
Faribault,4336,3624,309,
Fillmore,4646,5020,409,
Freeborn,6843,8514,555,
Goodhue,10852,9981,1093,
Grant,1804,1507,214,
Hennepin,225657,307599,35584,
Houston,5077,4502,421,
Hubbard,5307,3632,484,
Isanti,7668,6247,753,
Itasca,9545,10583,1137,
Jackson,2773,2364,194,
Kanabec,3480,2831,344,
Kandiyohi,10026,8220,734,
Kittson,1353,1107,68,
Koochiching,3523,2903,302,
Lac Qui Parle,1941,2244,160,
Lake,2465,3579,426,
Lake of the Woods,1216,848,74,
Le Sueur,6138,5361,603,
Lincoln,1513,1590,105,
Lyon,6087,4737,460,
McLeod,8782,5609,681,
Mahnomen,1122,921,96,
Marshall,2912,1910,160,
Martin,5686,4166,376,
Meeker,5520,4402,517,
Mille Lacs,5223,4376,448,
Morrison,8197,5274,633,
Mower,6873,10693,678,
Murray,2407,2093,149,
Nicollet,7221,7041,842,
Nobles,4766,3760,238,
Norman,1808,1575,123,
Olmsted,30641,25822,2198,
Otter Tail,16963,9844,1120,
Pennington,3380,2458,255,
Pine,5854,6148,734,
Pipestone,2693,1970,140,
Polk,7609,5764,369,
Pope,2808,2771,264,
Ramsey,87669,138470,15522,
Red Lake,1090,830,68,
Redwood,4589,2681,314,
Renville,4036,3533,355,
Rice,10876,13140,1639,
Rock,2772,2081,116,
Roseau,4695,2128,176,
St. Louis,35420,64237,6290,
Scott,23954,17503,1829,
Sherburne,16813,12109,1501,
Sibley,4087,2687,361,
Stearns,32402,24800,3820,
Steele,8223,6900,697,
Stevens,2831,2434,393,
Swift,2376,2698,218,
Todd,6031,4132,485,
Traverse,1074,884,86,
Wabasha,5245,4522,571,
Wadena,3733,2251,253,
Waseca,4608,3694,398,
Washington,51502,49637,4891,
Watonwan,2562,2258,212,
Wilkin,2032,1046,77,
Winona,10773,11069,1750,
Wright,23861,16762,1977,
Yellow Medicine,2598,2528,232,
