2004 US Presidential Election,Bush,Kerry,Other,
Aitkin,4768,4539,145,
Anoka,91853,80226,1987,
Becker,9795,6756,250,
Beltrami,10237,10592,302,
Benton,10043,8059,282,
Big Stone,1483,1536,48,
Blue Earth,15737,16865,517,
Brown,8395,5158,225,
Carlton,6642,11462,230,
Carver,28510,16456,445,
Cass,8875,6835,200,
Chippewa,3089,3424,93,
Chisago,15705,12219,336,
Clay,14365,12989,383,
Clearwater,2438,1871,52,
Cook,1489,1733,81,
Cottonwood,3557,2726,86,
Crow Wing,19106,14005,434,
Dakota,108959,104635,2252,
Dodge,5593,4117,158,
Douglas,11793,8219,297,
Faribault,4794,3767,120,
Fillmore,5694,5825,179,
Freeborn,7681,9733,252,
Goodhue,13134,12103,371,
Grant,1893,1856,70,
Hennepin,255133,383841,8007,
Houston,5631,5276,175,
Hubbard,6444,4741,155,
Isanti,11190,7883,240,
Itasca,10705,13290,372,
Jackson,3024,2652,103,
Kanabec,4527,3592,129,
Kandiyohi,11704,9337,308,
Kittson,1307,1333,42,
Koochiching,3539,3662,108,
Lac Qui Parle,2093,2390,58,
Lake,2769,4212,90,
Lake of the Woods,1428,921,51,
Le Sueur,7746,6466,212,
Lincoln,1736,1558,48,
Lyon,7203,5292,178,
McLeod,11407,6712,293,
Mahnomen,1132,1339,37,
Marshall,3187,2308,67,
Martin,6311,4590,146,
Meeker,6854,5292,188,
Mille Lacs,7194,5677,194,
Morrison,9698,6794,266,
Mower,7591,12334,297,
Murray,2719,2218,61,
Nicollet,8689,8797,255,
Nobles,5159,3898,147,
Norman,1794,1954,62,
Olmsted,37371,33285,919,
Otter Tail,19734,12038,406,
Pennington,3767,3117,133,
Pine,7033,7228,257,
Pipestone,3066,1900,66,
Polk,8724,6729,215,
Pope,3303,3301,96,
Ramsey,97096,171846,3635,
Red Lake,1164,963,50,
Redwood,4898,3104,137,
Renville,4430,3787,132,
Rice,13881,16425,439,
Rock,3111,2000,80,
Roseau,5355,2442,114,
St. Louis,40112,77958,1495,
Scott,36055,23958,626,
Sherburne,25182,15816,456,
Sibley,4669,3109,171,
Stearns,41726,32659,1192,
Steele,10389,7994,312,
Stevens,3030,2821,98,
Swift,2481,3165,89,
Todd,6945,5034,235,
Traverse,1076,1026,39,
Wabasha,6120,5548,167,
Wadena,4214,2791,88,
Waseca,5457,4179,164,
Washington,65751,61395,1303,
Watonwan,2970,2514,99,
Wilkin,2303,1169,55,
Winona,12686,14231,505,
Wright,36176,22618,740,
Yellow Medicine,2878,2799,81,
