1992 US Presidential Election,Bush,Clinton,Perot,
Adair,4141,4232,2224,
Andrew,2652,2675,2151,
Atchison,1140,1208,840,
Audrain,3798,4731,2099,
Barry,5565,4791,2381,
Barton,2775,1433,971,
Bates,2499,2993,2225,
Benton,2511,3195,1551,
Bollinger,2289,2150,909,
Boone,19405,26176,12040,
Buchanan,11275,16570,9404,
Butler,6450,6602,2189,
Caldwell,1295,1456,1283,
Callaway,4880,5799,3266,
Camden,5554,5140,3891,
Cape Girardeau,13464,9605,5199,
Carroll,1774,2100,1495,
Carter,1101,1169,405,
Cass,10349,10246,9216,
Cedar,2085,2064,1173,
Chariton,1378,2141,1067,
Christian,7422,6242,3422,
Clark,1039,1815,725,
Clay,23798,30565,20951,
Clinton,2391,3400,2423,
Cole,15270,10201,5770,
Cooper,2867,2709,1735,
Crawford,2831,3515,2002,
Dade,1577,1332,834,
Dallas,2116,2533,1392,
Daviess,1107,1477,1143,
DeKalb,1318,1630,1207,
Dent,2125,2689,1049,
Douglas,2569,2126,1081,
Dunklin,4024,6277,1166,
Franklin,11477,13431,11043,
Gasconade,2690,1952,1672,
Gentry,1272,1519,921,
Greene,46457,41137,17770,
Grundy,1749,1968,1372,
Harrison,1563,1590,1059,
Henry,2681,4232,2807,
Hickory,1259,1929,864,
Holt,1202,1050,781,
Howard,1253,2085,1090,
Howell,5360,5492,2650,
Iron,1276,2507,841,
Jackson,78611,145999,66142,
Jasper,17592,11727,6440,
Jefferson,20637,32569,20057,
Johnson,5032,5546,4578,
Knox,724,1010,523,
Laclede,5176,4179,2852,
Lafayette,4651,5213,3561,
Lawrence,5608,4666,2570,
Lewis,1461,2196,892,
Lincoln,3718,5453,3572,
Linn,1967,2916,1524,
Livingston,2370,2505,1976,
McDonald,3010,2281,1551,
Macon,2256,3194,1697,
Madison,1673,2501,899,
Maries,1356,1732,915,
Marion,4762,5156,1841,
Mercer,626,843,378,
Miller,4175,2905,2391,
Mississippi,1675,3226,776,
Moniteau,2566,2018,1499,
Monroe,1153,2060,969,
Montgomery,1974,2063,1266,
Morgan,2819,2906,2028,
New Madrid,2431,4883,962,
Newton,8804,5987,3567,
Nodaway,3147,3723,2484,
Oregon,1402,2258,564,
Osage,2784,1860,1423,
Ozark,1772,1581,906,
Pemiscot,2161,3924,670,
Perry,3205,2525,1498,
Pettis,6823,5314,4278,
Phelps,6040,6852,3774,
Pike,2255,3609,1464,
Platte,9380,10920,9062,
Polk,3465,3316,1879,
Pulaski,3793,4113,2057,
Putnam,1143,838,522,
Ralls,1349,2158,880,
Randolph,3025,4951,2212,
Ray,2563,4457,2567,
Reynolds,776,2014,532,
Ripley,1814,2300,739,
St. Charles,38673,37263,30351,
St. Clair,1555,1965,1083,
Ste. Genevieve,1780,3795,1547,
St. Francois,5889,9367,3635,
St. Louis,188285,235760,109099,
Saline,2688,4643,2815,
Schuyler,742,936,487,
Scotland,798,1070,617,
Scott,6265,7452,2763,
Shannon,1224,2135,579,
Shelby,1169,1435,786,
Stoddard,4608,5720,1977,
Stone,4035,3256,1884,
Sullivan,1326,1510,596,
Taney,6081,4682,2395,
Texas,3470,4597,1900,
Vernon,2851,3546,1890,
Warren,2953,3213,2471,
Washington,2157,4211,1618,
Wayne,2101,3073,837,
Webster,4361,4149,2108,
Worth,483,599,328,
Wright,3427,2814,1425,
St. Louis City,25441,102356,18864,
