1996 US Presidential Election,Dole,Clinton,Perot,
Adair,4656,4441,1170,
Andrew,3281,2807,964,
Atchison,1327,1266,367,
Audrain,3955,4690,1046,
Barry,5855,4352,1494,
Barton,2812,1625,563,
Bates,2904,3224,949,
Benton,2895,2996,764,
Bollinger,2420,2044,506,
Boone,22047,24984,4083,
Buchanan,12610,15848,4248,
Butler,6996,5780,1414,
Caldwell,1464,1487,468,
Callaway,5567,5880,1530,
Camden,7190,5566,1809,
Cape Girardeau,15557,9957,1861,
Carroll,1839,2080,580,
Carter,1180,1172,301,
Cass,13495,11743,3474,
Cedar,2484,2027,658,
Chariton,1508,2072,423,
Christian,9477,6627,2301,
Clark,1081,1749,458,
Clay,28935,32603,7048,
Clinton,2780,3445,848,
Cole,16140,10857,2121,
Cooper,2900,2753,891,
Crawford,2990,3349,1223,
Dade,1822,1243,447,
Dallas,2554,2277,787,
Daviess,1321,1534,466,
DeKalb,1627,1679,492,
Dent,2542,2234,693,
Douglas,2601,1744,775,
Dunklin,3766,5428,934,
Franklin,13715,13908,5517,
Gasconade,2997,2104,820,
Gentry,1361,1493,416,
Greene,48193,39300,8569,
Grundy,1883,2073,631,
Harrison,1737,1628,484,
Henry,3260,4579,1231,
Hickory,1491,1858,531,
Holt,1323,1144,314,
Howard,1545,2014,568,
Howell,5991,5261,2066,
Iron,1328,2221,568,
Jackson,85534,140317,21047,
Jasper,18361,11462,3545,
Jefferson,23877,32073,8893,
Johnson,6276,6220,1911,
Knox,862,891,254,
Laclede,5887,4047,1459,
Lafayette,5489,6118,1516,
Lawrence,6099,4465,1613,
Lewis,1453,2050,644,
Lincoln,4897,5644,1881,
Linn,2097,2967,781,
Livingston,2384,2913,777,
McDonald,3008,1980,923,
Macon,2634,2937,848,
Madison,1595,2351,625,
Maries,1560,1540,516,
Marion,4653,4924,1082,
Mercer,660,700,208,
Miller,4387,3110,1185,
Mississippi,1595,3235,380,
Moniteau,2603,2129,693,
Monroe,1333,1938,532,
Montgomery,2124,2277,772,
Morgan,3059,3006,1006,
New Madrid,2417,4451,663,
Newton,10067,5840,1995,
Nodaway,3362,3966,1043,
Oregon,1502,1795,475,
Osage,2890,2045,608,
Ozark,1882,1445,595,
Pemiscot,1820,3371,458,
Perry,3427,2517,777,
Pettis,7336,6057,1716,
Phelps,6990,6405,1703,
Pike,2209,3495,916,
Platte,13332,12705,3035,
Polk,4521,3307,1169,
Pulaski,4089,3783,1141,
Putnam,1091,857,276,
Ralls,1513,1998,520,
Randolph,3274,4502,1130,
Ray,2884,4714,1113,
Reynolds,903,1631,386,
Ripley,1988,2081,530,
St. Charles,47705,41369,11591,
St. Clair,1815,1974,650,
Ste. Genevieve,2078,3597,942,
St. Francois,6200,9034,2266,
St. Louis,196096,225524,34850,
Saline,2931,4765,1090,
Schuyler,777,857,287,
Scotland,773,990,326,
Scott,6641,7011,1483,
Shannon,1339,1882,524,
Shelby,1213,1410,413,
Stoddard,5020,4883,1185,
Stone,5223,3497,1353,
Sullivan,1275,1402,340,
Taney,6844,4623,1580,
Texas,4065,3897,1335,
Vernon,3123,3363,1135,
Warren,3768,3443,1254,
Washington,2259,4315,1169,
Wayne,2172,2754,674,
Webster,4958,3855,1214,
Worth,540,572,150,
Wright,3754,2280,890,
St. Louis City,22121,91233,7276,
