2008 US Presidential Election,McCain,Obama,Other,
Adair,5891,5735,245,
Andrew,5279,3345,166,
Atchison,1936,1000,40,
Audrain,6167,4434,180,
Barry,9758,4630,256,
Barton,4414,1455,79,
Bates,4833,3271,179,
Benton,5759,3629,223,
Bollinger,3972,1690,122,
Boone,36849,47062,1340,
Buchanan,19110,19164,986,
Butler,11805,5316,217,
Caldwell,2654,1814,96,
Callaway,11389,7580,397,
Camden,14074,7773,350,
Cape Girardeau,24768,12208,470,
Carroll,2955,1535,48,
Carter,1840,984,74,
Cass,29695,19844,802,
Cedar,4194,2060,100,
Chariton,2339,1799,76,
Christian,25382,11883,572,
Clark,1782,1572,102,
Clay,54516,53761,1748,
Clinton,5709,4545,200,
Cole,24385,13959,490,
Cooper,4902,2996,128,
Crawford,6007,3911,167,
Dade,2864,1184,64,
Dallas,4895,2656,132,
Daviess,2263,1400,123,
DeKalb,2889,1692,133,
Dent,4655,2056,157,
Douglas,4405,2140,167,
Dunklin,7044,4540,180,
Franklin,27355,21256,847,
Gasconade,4763,2899,109,
Gentry,1964,1235,93,
Greene,77683,56181,2283,
Grundy,3006,1580,154,
Harrison,2512,1287,116,
Henry,6095,4869,195,
Hickory,2850,2171,94,
Holt,1794,802,37,
Howard,2708,2036,111,
Howell,10982,5736,311,
Iron,2090,2213,111,
Jackson,124687,210824,3755,
Jasper,31667,15730,822,
Jefferson,50804,53467,1779,
Johnson,12183,9480,417,
Knox,1212,759,58,
Laclede,10875,5218,286,
Lafayette,9442,6902,256,
Lawrence,11263,5097,325,
Lewis,2594,1837,71,
Lincoln,12924,10234,461,
Linn,3140,2638,153,
Livingston,3993,2435,124,
McDonald,5499,2454,182,
Macon,4586,2784,104,
Madison,2897,2042,89,
Maries,2853,1599,107,
Marion,7705,4703,145,
Mercer,1169,519,60,
Miller,7797,3553,213,
Mississippi,3034,2247,75,
Moniteau,4467,2084,114,
Monroe,2533,1703,78,
Montgomery,3428,2347,81,
Morgan,5451,3565,133,
New Madrid,4593,3370,129,
Newton,17637,7450,319,
Nodaway,5568,4493,158,
Oregon,2652,1811,128,
Osage,5062,1907,110,
Ozark,2918,1661,107,
Pemiscot,3954,3029,64,
Perry,5527,3005,115,
Pettis,11018,6932,315,
Phelps,11706,7394,424,
Pike,4268,3487,153,
Platte,24460,21459,721,
Polk,8956,4553,188,
Pulaski,9552,5249,199,
Putnam,1591,695,53,
Ralls,2987,2041,56,
Randolph,6457,3984,215,
Ray,5593,5241,219,
Reynolds,1782,1418,87,
Ripley,3407,1795,161,
St. Charles,102550,84183,2224,
St. Clair,2981,1886,121,
Ste. Genevieve,3732,4979,114,
St. Francois,12660,11540,350,
St. Louis,221705,333123,5026,
Saline,4962,4712,174,
Schuyler,1139,775,69,
Scotland,1249,793,56,
Scott,11563,6258,261,
Shannon,2075,1637,126,
Shelby,2166,1114,36,
Stoddard,9172,3899,191,
Stone,11147,5029,269,
Sullivan,1607,1173,89,
Taney,14736,6683,322,
Texas,7215,3410,226,
Vernon,5334,3381,163,
Warren,8675,6705,196,
Washington,4706,4711,197,
Wayne,3784,2243,127,
Webster,10431,5685,240,
Worth,707,427,40,
Wright,5784,2557,173,
St. Louis,24662,132925,1517,
