1968 US Presidential Election,Nixon,Humphrey,Wallace,
Alamance,12310,8241,13139,
Alexander,4379,1834,2203,
Alleghany,1695,1102,904,
Anson,1474,2969,3571,
Ashe,4894,3426,888,
Avery,3197,631,690,
Beaufort,2669,3232,5686,
Bertie,811,3207,3108,
Bladen,1746,2754,3897,
Brunswick,2404,2972,3358,
Buncombe,21031,14624,11889,
Burke,11068,5704,5892,
Cabarrus,13226,5501,6538,
Caldwell,10433,4746,5095,
Camden,180,707,1100,
Carteret,4593,3762,3061,
Caswell,1036,2137,2851,
Catawba,18393,6974,7285,
Chatham,3845,3532,3239,
Cherokee,3768,2402,915,
Chowan,798,1201,1696,
Clay,1390,847,293,
Cleveland,7298,5661,9649,
Columbus,3881,4243,6693,
Craven,2991,4240,6509,
Cumberland,9143,9938,9539,
Currituck,363,738,1471,
Dare,1035,700,844,
Davidson,16678,7594,11544,
Davie,3866,1502,2515,
Duplin,2724,3451,6082,
Durham,12705,16563,13542,
Edgecombe,3198,5243,5861,
Forsyth,31623,20281,15681,
Franklin,1375,2855,5525,
Gaston,18741,10100,13973,
Gates,406,1151,1227,
Graham,1570,1061,363,
Granville,1837,2638,4071,
Greene,650,1560,2906,
Guilford,38996,25604,19751,
Halifax,3148,4927,7116,
Harnett,5184,4007,6531,
Haywood,6205,5703,3898,
Henderson,9334,3053,3861,
Hertford,1125,3275,2203,
Hoke,812,2185,1545,
Hyde,401,769,833,
Iredell,10557,4878,9021,
Jackson,3747,2956,1080,
Johnston,6764,4492,9212,
Jones,361,1225,1780,
Lee,2586,2524,3711,
Lenoir,3844,3853,8036,
Lincoln,6188,4044,3161,
McDowell,4740,2543,3018,
Macon,3295,2070,1162,
Madison,3130,2201,1034,
Martin,1221,3118,3818,
Mecklenburg,56325,31102,20070,
Mitchell,3778,819,603,
Montgomery,3070,2410,2259,
Moore,5322,3583,3263,
Nash,4602,5283,9230,
New Hanover,10020,7750,9291,
Northampton,860,4072,2986,
Onslow,3444,3281,5542,
Orange,6097,8366,3845,
Pamlico,745,1280,1447,
Pasquotank,1430,2564,3597,
Pender,1007,1942,2720,
Perquimans,468,1023,1554,
Person,2138,2644,4065,
Pitt,5745,7696,9167,
Polk,2550,1523,1484,
Randolph,13450,5351,6892,
Richmond,2865,4257,5457,
Robeson,4526,8248,6441,
Rockingham,8095,6774,9324,
Rowan,15207,8074,9220,
Rutherford,7785,4622,4476,
Sampson,6597,4797,4527,
Scotland,1717,2252,2016,
Stanly,9428,4199,4706,
Stokes,4781,2374,3410,
Surry,9638,5088,4103,
Swain,1494,1227,537,
Transylvania,4033,2210,2365,
Tyrrell,291,581,415,
Union,5290,3630,4761,
Vance,2252,3852,5244,
Wake,28928,20979,17250,
Warren,796,2293,2294,
Washington,1016,1898,1866,
Watauga,5081,2952,1060,
Wayne,5678,5338,8709,
Wilkes,11195,4497,2876,
Wilson,4053,4173,7903,
Yadkin,5885,1443,2397,
Yancey,2448,2215,752,
