1996 US Presidential Election,Dole,Clinton,Perot,
Alamance,22461,15814,3395,
Alexander,6748,3955,1004,
Alleghany,1936,1801,458,
Anson,2193,4890,512,
Ashe,5203,3825,865,
Avery,3870,1586,655,
Beaufort,8154,6172,834,
Bertie,1745,4202,316,
Bladen,3335,4952,655,
Brunswick,10065,10041,1815,
Buncombe,30518,31658,6254,
Burke,13853,11678,2654,
Cabarrus,23035,14447,3626,
Caldwell,12653,8050,2099,
Camden,1074,1186,293,
Carteret,11721,7566,1467,
Caswell,3310,4312,510,
Catawba,26898,15601,3629,
Chatham,7731,9353,1113,
Cherokee,3883,3129,785,
Chowan,1659,2239,359,
Clay,1769,1462,387,
Cleveland,13474,12728,1931,
Columbus,6017,9019,1170,
Craven,13264,10317,1528,
Cumberland,29804,32739,3776,
Currituck,2569,2277,770,
Dare,4977,4522,1258,
Davidson,24797,13593,3698,
Davie,8141,3525,915,
Duplin,5432,6179,766,
Durham,27825,49186,3122,
Edgecombe,6010,10568,660,
Forsyth,59160,46543,5747,
Franklin,5648,6448,891,
Gaston,33149,19458,3921,
Gates,1072,2155,307,
Graham,1801,1210,270,
Granville,5498,6747,432,
Greene,2689,2224,280,
Guilford,67727,69208,9739,
Halifax,5700,9551,816,
Harnett,11596,8767,1287,
Haywood,7995,9350,2594,
Henderson,19182,10626,2679,
Hertford,1823,4856,356,
Hoke,1914,3510,481,
Hyde,782,1109,143,
Iredell,21163,13102,2970,
Jackson,4244,5211,970,
Johnston,18704,11175,2163,
Jones,1682,1829,197,
Lee,7321,6290,980,
Lenoir,9433,8635,822,
Lincoln,11439,7721,1619,
McDowell,6407,4553,1275,
Macon,5267,4209,1121,
Madison,3110,3333,538,
Martin,3590,4500,445,
Mecklenburg,97719,103429,10473,
Mitchell,3874,1496,549,
Montgomery,3379,3856,587,
Moore,14760,9847,1761,
Nash,15309,11142,1751,
New Hanover,27889,22839,3615,
Northampton,1881,5207,402,
Onslow,13396,8685,1857,
Orange,15053,28674,1534,
Pamlico,2270,2204,297,
Pasquotank,2999,4233,565,
Pender,5538,5409,945,
Perquimans,1561,2069,369,
Person,4883,4540,591,
Pitt,18227,17555,2037,
Polk,3516,2704,493,
Randolph,23030,10783,3593,
Richmond,3973,7564,1230,
Robeson,8146,17361,2105,
Rockingham,14255,12096,2528,
Rowan,22754,13461,2902,
Rutherford,9792,7162,1585,
Sampson,8241,8150,825,
Scotland,2858,4870,548,
Stanly,11446,7131,1690,
Stokes,9471,4769,1025,
Surry,11117,7303,1538,
Swain,1444,1869,401,
Transylvania,6734,4842,1183,
Tyrrell,488,908,112,
Union,18802,11525,2477,
Vance,4651,6385,575,
Wake,108780,103574,11811,
Warren,1861,4141,319,
Washington,1562,2790,171,
Watauga,8146,7349,1415,
Wayne,16588,11580,1178,
Wilkes,12395,6793,1967,
Wilson,10518,9779,1100,
Yadkin,8439,2927,913,
Yancey,3973,3956,720,
