2008 US Presidential Election,McCain,Obama,Other,
Alamance,34859,28918,576,
Alexander,11790,5167,297,
Alleghany,3124,2021,118,
Anson,4207,6456,70,
Ashe,7916,4872,281,
Avery,5681,2178,84,
Beaufort,13460,9454,96,
Bertie,3376,6365,22,
Bladen,7532,7853,95,
Brunswick,30753,21331,524,
Buncombe,52494,69716,1585,
Burke,22102,14901,440,
Cabarrus,45924,31546,524,
Caldwell,22526,12081,548,
Camden,3140,1597,84,
Carteret,23131,11130,336,
Caswell,5208,5545,109,
Catawba,42993,25656,802,
Chatham,14668,17862,350,
Cherokee,8643,3785,158,
Chowan,3773,3688,51,
Clay,3707,1734,102,
Cleveland,26078,17363,394,
Columbus,12994,11076,212,
Craven,24901,19352,345,
Cumberland,52151,74693,731,
Currituck,7234,3737,131,
Dare,9745,8074,229,
Davidson,45419,22433,729,
Davie,13981,6178,209,
Duplin,10834,8958,112,
Durham,32353,103456,1088,
Edgecombe,8445,17403,82,
Forsyth,73674,91085,1374,
Franklin,13273,13085,281,
Gaston,52507,31384,511,
Gates,2547,2830,43,
Graham,2824,1265,82,
Granville,11447,13074,204,
Greene,4272,3796,35,
Guilford,97718,142101,1952,
Halifax,8961,16047,83,
Harnett,23579,16785,341,
Haywood,14910,12730,427,
Henderson,30930,20082,602,
Hertford,3089,7513,48,
Hoke,6293,9227,107,
Hyde,1212,1241,16,
Iredell,45148,27318,696,
Jackson,7854,8766,246,
Johnston,43622,26795,600,
Jones,2817,2378,32,
Lee,12775,10784,229,
Lenoir,13401,13378,118,
Lincoln,23631,11713,454,
McDowell,11534,6571,281,
Macon,10317,6620,301,
Madison,5192,5026,161,
Martin,5957,6539,45,
Mecklenburg,153848,253958,3011,
Mitchell,5499,2238,109,
Montgomery,6155,4926,129,
Moore,27314,17624,390,
Nash,23728,23099,291,
New Hanover,50544,49145,976,
Northampton,3671,6903,44,
Onslow,30278,19499,426,
Orange,20266,53806,838,
Pamlico,3823,2838,51,
Pasquotank,7778,10272,130,
Pender,13618,9907,224,
Perquimans,3678,2772,51,
Person,10030,8446,156,
Pitt,33927,40501,456,
Polk,5990,4396,176,
Randolph,40998,16414,735,
Richmond,9424,9713,190,
Robeson,17433,23058,343,
Rockingham,23899,17255,458,
Rowan,37451,23391,718,
Rutherford,18769,9641,310,
Sampson,14038,11836,164,
Scotland,6005,8151,61,
Stanly,19329,8878,299,
Stokes,14488,6875,380,
Surry,18730,10475,320,
Swain,2900,2806,92,
Transylvania,9401,7275,233,
Tyrrell,960,933,17,
Union,54123,31189,777,
Vance,7606,13166,99,
Wake,187001,250891,4353,
Warren,3063,7086,46,
Washington,2670,3748,36,
Watauga,13344,14558,470,
Wayne,26952,22671,259,
Wilkes,20288,8934,502,
Wilson,17375,19652,164,
Yadkin,12409,4527,211,
Yancey,5045,4486,186,
