2012 US Presidential Election,Romney,Obama,Other,
Alamance,38170,28875,731,
Alexander,12253,4611,332,
Alleghany,3390,1583,94,
Anson,4166,7019,71,
Ashe,8242,4116,252,
Avery,5766,1882,111,
Beaufort,13977,9435,208,
Bertie,3387,6695,41,
Bladen,7748,8062,147,
Brunswick,34743,22038,581,
Buncombe,54701,70625,2370,
Burke,22267,13701,576,
Cabarrus,49557,32849,1160,
Caldwell,23229,10898,605,
Camden,3109,1508,87,
Carteret,24775,10301,441,
Caswell,5594,5348,97,
Catawba,44538,24069,994,
Chatham,16665,18361,408,
Cherokee,9278,3378,211,
Chowan,3891,3556,58,
Clay,3973,1579,90,
Cleveland,25793,17062,485,
Columbus,12941,11050,252,
Craven,26928,18763,479,
Cumberland,50666,75792,1183,
Currituck,7496,3562,246,
Dare,10248,7393,333,
Davidson,49383,20624,928,
Davie,14687,5735,248,
Duplin,11416,9033,143,
Durham,33769,111224,1742,
Edgecombe,8546,18310,116,
Forsyth,79768,92323,1978,
Franklin,14603,13436,350,
Gaston,56138,33171,1174,
Gates,2564,2786,46,
Graham,2750,1119,78,
Granville,12405,13598,272,
Greene,4411,3778,47,
Guilford,104789,146365,2698,
Halifax,8763,17176,140,
Harnett,25565,17331,519,
Haywood,15633,11833,508,
Henderson,32994,18642,756,
Hertford,3007,7843,68,
Hoke,6819,10076,194,
Hyde,1193,1163,27,
Iredell,49299,26076,990,
Jackson,8254,8095,352,
Johnston,48427,27290,974,
Jones,2837,2352,41,
Lee,13158,10801,280,
Lenoir,13980,13948,158,
Lincoln,25267,11024,484,
McDowell,11775,6031,293,
Macon,10835,5712,314,
Madison,5404,4484,225,
Martin,5995,6583,74,
Mecklenburg,171668,272262,4970,
Mitchell,5806,1838,121,
Montgomery,6404,4706,121,
Moore,29495,16505,415,
Nash,23842,24313,337,
New Hanover,53385,48668,1575,
Northampton,3483,7232,41,
Onslow,32243,18490,702,
Orange,21539,53901,1317,
Pamlico,4051,2647,64,
Pasquotank,7633,10282,192,
Pender,14617,9632,278,
Perquimans,3822,2759,71,
Person,10496,8418,192,
Pitt,36214,41843,799,
Polk,6236,4013,140,
Randolph,45160,14773,782,
Richmond,9332,9904,181,
Robeson,17510,24988,448,
Rockingham,25227,16351,442,
Rowan,38775,22650,887,
Rutherford,18954,9374,374,
Sampson,14422,11566,186,
Scotland,5831,8215,110,
Stanly,19904,8431,382,
Stokes,15237,6018,364,
Surry,19923,9112,435,
Swain,2976,2618,134,
Transylvania,9634,6826,303,
Tyrrell,930,837,16,
Union,61107,32473,1148,
Vance,7429,13323,102,
Wake,211596,267262,7569,
Warren,3140,6978,44,
Washington,2622,3833,44,
Watauga,13861,13002,811,
Wayne,27641,23314,397,
Wilkes,20515,8148,482,
Wilson,17954,20875,280,
Yadkin,12578,3957,278,
Yancey,5278,3981,192,
