1968 US Presidential Election,Nixon,Humphrey,Wallace,
Atlantic,32807,35581,7528,
Bergen,224911,162182,23663,
Burlington,46177,41651,11635,
Camden,77642,87347,23111,
Cape May,14970,9664,3498,
Cumberland,18388,21661,5356,
Essex,140084,185440,26823,
Gloucester,30596,27438,10626,
Hudson,91324,124939,23138,
Hunterdon,15851,8755,2749,
Mercer,45354,63218,16104,
Middlesex,96515,103339,24138,
Monmouth,87311,69669,13047,
Morris,85512,52398,9659,
Ocean,41995,26909,8520,
Passaic,79862,74442,16617,
Salem,11407,11172,3647,
Somerset,42459,27580,7331,
Sussex,18043,8325,2843,
Union,110309,109674,19963,
Warren,13950,12822,2191,
