1976 US Presidential Election,Ford,Carter,Other,
Atlantic,36733,41965,1932,
Bergen,237331,180738,6784,
Burlington,60960,63309,2551,
Camden,82801,108854,3956,
Cape May,19498,16489,680,
Cumberland,20535,29165,587,
Essex,133911,174434,7467,
Gloucester,34888,38726,1688,
Hudson,92636,116241,3853,
Hunterdon,19616,12592,758,
Mercer,58453,69621,2782,
Middlesex,113539,122859,4466,
Monmouth,110104,88956,3730,
Morris,105921,63749,2703,
Ocean,77875,56413,2493,
Passaic,85102,76194,4930,
Salem,11639,12826,512,
Somerset,51260,36258,2173,
Sussex,23613,14759,857,
Union,118019,106267,4616,
Warren,15254,14238,613,
