1984 US Presidential Election,Reagan,Mondale,Other,
Atlantic,49158,33240,453,
Bergen,268507,155039,1172,
Burlington,89815,57467,377,
Camden,109749,90233,904,
Cape May,28786,13378,133,
Cumberland,29398,21141,616,
Essex,136798,173295,4450,
Gloucester,54041,32702,307,
Hudson,112834,94304,1106,
Hunterdon,29737,10972,370,
Mercer,71195,66398,528,
Middlesex,160221,104905,2727,
Monmouth,152595,79382,932,
Morris,137719,53201,584,
Ocean,124391,51012,1710,
Passaic,101951,69590,3399,
Salem,17368,8935,149,
Somerset,66303,31924,1069,
Sussex,35680,11502,163,
Union,135446,92056,1638,
Warren,21938,10647,122,
