1988 US Presidential Election,Bush,Dukakis,Other,
Atlantic,44748,34047,647,
Bergen,226885,160655,2393,
Burlington,87416,61140,1393,
Camden,100072,90704,1739,
Cape May,28738,15105,274,
Cumberland,26024,21869,456,
Essex,111491,156098,9378,
Gloucester,51708,35479,930,
Hudson,84334,98507,1622,
Hunterdon,31907,13758,517,
Mercer,65384,68712,1249,
Middlesex,143422,117149,3548,
Monmouth,147320,91844,1793,
Morris,127420,58721,1108,
Ocean,124587,64474,1497,
Passaic,88070,66254,3189,
Salem,15240,9956,410,
Somerset,67658,37406,1129,
Sussex,36086,13676,398,
Union,112967,93158,2028,
Warren,21715,11640,311,
