1992 US Presidential Election,Bush,Clinton,Perot,
Atlantic,34279,39633,15890,
Bergen,178223,171104,52082,
Burlington,63709,72845,35322,
Camden,67205,104915,37144,
Cape May,21502,17324,9798,
Cumberland,19253,22220,9901,
Essex,89146,158130,26961,
Gloucester,37335,42425,24132,
Hudson,66505,99799,14569,
Hunterdon,25130,15423,12736,
Mercer,50473,71383,22503,
Middlesex,108701,128824,45055,
Monmouth,117715,101750,45445,
Morris,108431,67593,32447,
Ocean,95984,75431,41668,
Passaic,71147,70030,21494,
Salem,10363,10062,7274,
Somerset,56044,42867,21014,
Sussex,29510,14775,12537,
Union,87742,96671,23991,
Warren,18468,13002,9866,
