2004 US Presidential Election,Bush,Kerry,Other,
Atlantic,49487,55746,864,
Bergen,189833,207666,2745,
Burlington,95936,110411,1609,
Camden,81427,137765,1741,
Cape May,28832,21475,455,
Cumberland,24362,27875,948,
Essex,83374,203681,2293,
Gloucester,60033,66835,1096,
Hudson,60646,127447,1461,
Hunterdon,39888,26050,742,
Mercer,56604,91580,1326,
Middlesex,126492,166628,2685,
Monmouth,163650,133773,2516,
Morris,135241,98066,1847,
Ocean,154204,99839,2424,
Passaic,75200,94962,1149,
Salem,15721,13749,311,
Somerset,72508,66476,1295,
Sussex,44506,23990,962,
Union,82517,119372,1613,
Warren,29542,18044,622,
