2012 US Presidential Election,Romney,Obama,Other,
Atlantic,46522,65600,1222,
Bergen,169070,212754,4166,
Burlington,87401,126377,2561,
Camden,69476,153682,2791,
Cape May,25781,21657,655,
Cumberland,20658,34055,656,
Essex,64767,237035,2269,
Gloucester,59456,74013,2101,
Hudson,42369,153108,2217,
Hunterdon,38687,26876,1061,
Mercer,47355,104377,3623,
Middlesex,107310,190555,3995,
Monmouth,148000,133820,3840,
Morris,125279,100563,2805,
Ocean,146475,102300,3079,
Passaic,64523,115926,1765,
Salem,14334,14719,570,
Somerset,66603,74592,1985,
Sussex,40625,26104,1465,
Union,68314,139752,2022,
Warren,25744,18745,926,
