1960 US Presidential Election,Nixon,Kennedy,Unpledged,
Bernalillo,44805,40908,0,
Catron,671,573,0,
Chaves,9089,6212,0,
Colfax,2316,3187,0,
Curry,6153,3421,0,
De Baca,734,619,0,
Dona Ana,7789,8905,0,
Eddy,7986,8707,0,
Grant,2468,4378,0,
Guadalupe,1242,1589,0,
Harding,616,396,0,
Hidalgo,750,889,0,
Lea,7548,7806,0,
Lincoln,2042,1459,0,
Los Alamos,2574,2692,0,
Luna,1583,1708,0,
McKinley,4262,5599,0,
Mora,1349,1458,0,
Otero,4507,4916,0,
Quay,2652,2050,0,
Rio Arriba,3716,6250,0,
Roosevelt,4039,1761,0,
Sandoval,1447,2672,0,
San Juan,7521,5370,0,
San Miguel,3988,5520,0,
Santa Fe,7411,10385,0,
Sierra,1890,1220,0,
Socorro,1796,2327,0,
Taos,2620,3631,0,
Torrance,1554,1308,0,
Union,1686,1068,0,
Valencia,4929,7043,0,
